smiles,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,LM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,FAF-Drugs4 Rule,Genotoxic_Carcinogenicity_Mutagenicity,Aggregators,Fluc,Blue_fluorescence,Green_fluorescence,Reactive,Other_assay_interference,Promiscuous
Cc1cc(/N=N/c2ccccc2C(=O)O)ccc1O,256.08,260.8598647,0.981676504,5,2,82.25,3,2,6,5,0,14,0.214285714,0,0,0.819,2.276,0.071,12,-0.429,"[(18, 17, 16, 15, 3, 4, 2, 1), (4, 5), (4, 3, 2, 1, 17, 16, 15), (18, 17, 16, 15, 3, 2, 1)]","[(3, 4, 5, 6)]",['-'],"[(4, 5)]",0,0,0,0,-3.154160733,1.895934417,2.697624408,207.540236,334.1859809,4.8678392,1.82340589,-4.780531154,-4.788245685,0.899376631,0.000167735,1.06E-08,0.002970994,0.874230519,0.762943909,0.981428752,0.999910831,0.999999881,4.57E-05,0.631096721,1.39E-06,0.011931561,97.5688222,-0.788857837,2.009172604,0.005792637,0.001123479,0.00010176,0.000114136,0.004184542,0.102549717,1.43E-07,3.36E-05,1.01E-05,4.67E-06,3.21E-05,1.17E-10,0.081827365,0.002996216,3.024142134,1.036644739,0.293057072,2.980453205,4.201134423,3.494578611,0.022782367,0.436816484,0.456163913,0.867054403,0.179238901,0.204811007,0.929261386,0.946825325,0.021883411,0.970638156,0.808056891,0.610373437,0.995481133,0.476870924,0.943339825,0.480225295,0.999996185,0.002341484,0.003578667,0.31636402,0.875966489,0.043070711,0.018750839,0.562459826,0.948500752,0.296885461,0.899837494,0.990408123,0.805846453,0.891546309,0.988568425,0.798808455,"[(4,)]",['-'],"[(2, 1, 17, 16, 15, 3, 4, 5, 6, 7, 8, 9, 10, 11)]",['-'],"[(6,), (2,), (1, 17, 18, 16, 15, 3, 4, 2)]","[(3, 4, 5, 6)]","[(3, 4, 5, 6), (4, 3, 2, 1, 17, 16, 15), (18, 17, 16, 15, 3, 2, 1)]","[(4, 5), (4,), (4,), (4,), (4,)]",0.311,0.998,0.212,0.451,0.118,0.868,0.041
CCCOc1ccnc2[nH]cc(-c3ccnc(N)n3)c12,269.13,270.3496925,0.995488463,6,3,89.71,4,3,9,6,0,16,0.25,0,0,0.759,2.578,0.214,15,-0.39,"[(3, 4, 19, 8, 9, 7, 6, 5), (17, 16, 15, 14, 13, 12, 18)]",['-'],['-'],['-'],0,0,0,0,-3.281305772,2.462905207,2.259736739,181.3850393,294.9817781,11.25134282,6.344835909,-4.701608076,-4.778739725,0.414829433,0.004024274,0.064479843,0.011947393,0.162848651,0.253188074,0.414641559,0.985003531,0.996612132,0.008774131,0.155579209,0.074584968,0.758280456,65.70554939,0.196319154,31.01473125,0.929048955,0.000230649,0.003877129,2.06E-05,0.000100412,0.780020773,0.000674013,0.00213276,0.001807708,0.005624067,0.006801431,8.41E-09,0.412463754,0.625428021,8.879347062,0.970857777,0.418660785,2.942713445,4.292045695,3.528507868,0.234922633,0.448620141,0.971737444,0.623795748,0.670407295,0.405650407,0.042746805,0.916411161,1.95E-05,0.830336392,0.671094477,0.584634185,0.929410398,0.521892846,0.337318838,0.557292521,0.916722953,0.149671003,0.106345013,0.354809314,0.954773545,0.027273282,0.00060627,0.002179126,0.142027587,0.003413395,0.000305641,0.33877784,0.002948602,0.000886603,0.249217764,0.206704259,"[(7,)]",['-'],['-'],['-'],"[(16, 17), (16, 17)]",['-'],"[(11, 19, 8, 9, 10)]","[(16, 17), (16, 17), (16, 17), (16,), (16, 17)]",0.174,0.052,0.499,0.354,0.01,0.509,0.9
Cc1ccccc1-c1cc2cc(C(=N)N)ccc2[nH]1,249.13,271.5214559,0.917533383,3,4,65.66,2,3,9,3,0,17,0.117647059,0,0,0.473,2.116,0.062,16,-0.592,['-'],['-'],['-'],['-'],0,0,0,0,-3.066335535,2.299603998,2.62880867,177.893337,324.1060834,10.93808374,8.05396918,-5.951610374,-5.283158331,0.738994777,0.021456329,0.97370559,0.012418747,0.113508165,0.70211482,0.979116881,0.867528796,0.993375242,0.038759056,0.092106141,0.488048404,0.437613279,83.84198898,1.080865634,16.17033032,0.370335728,0.305883855,0.008726835,5.11E-06,6.39E-05,8.26E-05,3.75E-05,0.000502804,0.000753581,0.000101891,0.324256986,3.26E-07,0.838387549,0.002687033,7.635205594,0.903375651,1.207974438,3.856844507,4.659252682,4.433304197,0.611833334,0.774979711,0.776937187,0.313694596,0.664197564,0.872398973,0.867952287,0.650850952,4.88E-07,0.466410846,0.972284734,0.839937031,0.989709675,0.291341275,0.551412761,0.680355251,0.996022046,0.103650793,0.223411053,0.585743904,0.896818221,0.012678057,0.030969391,0.094427921,0.260839611,0.041006286,0.003896481,0.966845751,0.014803464,0.067131475,0.98299396,0.038258962,['-'],['-'],['-'],['-'],['-'],['-'],"[(12, 13), (18, 17, 16, 15, 11, 10, 9), (8, 9, 17, 18, 7)]",['-'],0.938,0.988,0.921,0.751,0.009,0.058,0.759
CSc1nc(NCCC(C)C)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2n1,463.13,403.92868,1.146563794,12,5,172.08,9,3,9,14,0,16,0.5625,4,0,0.201,4.007,0.688,72.519,0.341,"[(1, 2, 3, 4, 5, 11, 28, 29), (0, 1, 2)]",['-'],['-'],['-'],0,0,1,0,-3.26850106,2.02054878,0.980780144,207.419631,286.516127,4.703246878,4.349426933,-5.67115681,-5.113935099,0.947516382,0.011249572,3.64E-08,0.00526017,1.07E-06,0.034995556,0.033029735,0.999969482,0.999994278,0.000332028,0.345731705,4.54E-05,0.08398781,97.40807715,0.002242124,3.339388024,0.097798295,1.06E-14,0.000134273,5.01E-10,0.02915252,0.775443614,0.039014857,9.36E-06,4.27E-12,1.54E-08,0.00246543,1.59E-19,0.975216329,0.991176486,2.724462052,1.929112685,0.306704241,2.933217226,4.336247523,3.745830939,0.04208222,0.141135529,0.996165633,0.216490537,0.013094599,0.852258027,0.982505202,0.884212792,2.71E-06,0.105901621,0.964401126,0.724699616,0.07854031,0.68245405,0.187210381,0.995432019,0.998345852,0.096501134,0.005928247,0.451996773,0.056184817,0.139601097,7.22E-05,0.000285987,0.795785248,0.001912193,0.000251936,0.005214231,0.010925398,4.03E-05,0.00017403,0.000490777,"[(15, 16, 17)]",['-'],['-'],['-'],"[(4, 5), (4, 5)]",['-'],"[(15, 14, 13, 12, 11, 28)]","[(4, 5)]",0.289,0,0.105,0.117,0.099,0.996,0.002
CC(=O)/C=C/c1cn(C)c2ccccc12,199.1,220.2595828,0.903933429,2,0,22,2,2,9,2,0,12,0.166666667,0,0,0.682,2.144,0.154,11,-0.157,"[(4, 3, 1, 2, 0)]",['-'],['-'],['-'],0,0,0,1,-3.692292131,2.844158781,2.631332566,121.6729964,319.6228855,8.730655994,3.866472082,-4.555380912,-4.626519923,0.240538508,0.681369901,0.244351029,0.027280331,0.596499473,0.751379907,0.929812439,0.946107388,0.913331389,0.216822103,0.936200023,0.484795123,0.729521811,84.66964679,-0.050082379,11.71304838,0.99949801,0.811242759,0.997806132,0.019127879,0.385890275,0.024294203,0.208255231,0.281333506,0.094741158,0.020053359,0.961755335,1.70E-06,0.992577136,0.975010812,10.51156892,0.64778115,1.416416036,3.815528536,4.827607779,4.622092679,0.175246179,0.448743582,0.658667564,0.729439914,0.231680766,0.502332509,0.700348079,0.668460488,0.130734771,0.94192934,0.738784492,0.814511001,0.878003359,0.330030948,0.482327789,0.376394302,0.755063832,0.092788979,0.124542192,0.271971524,0.155180261,0.005395322,0.004040095,0.00071546,0.051901516,0.000940369,0.002391488,0.039232761,0.000171849,0.009363048,0.005094034,0.021494053,"[(0, 1, 2, 3)]","[(1, 2, 3, 4)]",['-'],['-'],"[(4, 3, 1, 2, 0), (3, 4, 5), (5, 4, 3, 1)]","[(4, 3, 1, 2, 0), (4,)]","[(0, 1, 2, 3), (7, 9, 10, 11, 12, 13, 14), (4, 3, 1), (5, 14, 9, 7, 6)]","[(4, 3, 1, 2, 0)]",0.521,0.658,0.329,0.589,0.182,0.774,0.183
CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NC[C@H]1CC[C@H](N)CC1,386.27,411.7839586,0.938040426,6,4,87.46,9,3,6,6,0,19,0.473684211,2,0,0.662,2.988,0.636,60.444,-0.422,['-'],['-'],['-'],['-'],0,0,0,0,-2.26217811,1.477064186,1.676138993,146.198073,306.2451539,9.997140156,8.071312647,-5.817825335,-5.160692876,0.706065476,0.043808959,0.989152551,0.00081104,0.125469625,0.77738148,0.728862375,0.19254896,0.032832246,0.0224756,0.107624412,0.000544854,0.197919115,26.20528054,-0.129294109,69.93332447,2.78E-11,3.34E-06,2.34E-07,0.962812722,4.81E-14,7.92E-15,0.942530155,0.464748383,0.01013519,0.093119211,0.018888893,1.08E-09,7.58E-09,0.000151101,3.803684419,0.98892792,0.599304739,3.253099859,4.647777638,4.075209703,0.893878281,0.251874238,0.228285342,0.035916086,0.909309268,0.999897599,0.96236074,0.002388257,5.82E-05,0.024155175,0.994872272,0.998642266,0.998394907,0.533198416,0.005520807,0.991403162,0.996388555,0.028143596,0.103450388,0.209308341,0.00181924,0.000116422,8.96E-05,4.21E-05,0.079756849,0.000130847,2.42E-06,0.027928388,2.24E-05,0.000181768,0.000131148,7.00E-06,['-'],['-'],['-'],['-'],"[(2, 10, 11, 12, 16, 17)]",['-'],"[(0, 1, 2, 10, 12, 16, 17, 19, 20), (2, 10, 12, 11)]",['-'],0.103,0.002,0.009,0.074,0.004,0.028,0.01
CCOCn1c(Cc2ccccc2)c(C(C)C)c(=O)[nH]c1=O,302.16,318.0207382,0.950126717,5,1,64.09,6,2,6,5,0,14,0.428571429,0,0,0.89,2.391,0.412,13,-0.487,['-'],['-'],['-'],['-'],0,0,0,0,-3.518033249,2.232035487,2.033843295,146.6745444,307.1852676,8.813472448,4.153242002,-5.319510175,-4.763925337,0.087684684,0.928428948,0.019790784,0.277359426,0.342637956,0.924106665,0.527211487,0.859237015,0.655065656,0.042872004,0.998216093,0.124985188,0.889302075,91.90793037,-0.3200785,7.413481168,0.005020449,0.160552353,0.016593566,0.470354348,0.018636614,0.012315353,0.000126069,0.000897391,0.004765619,0.347647697,0.054799337,0.943442106,0.02610508,0.688082755,7.559468696,0.678961469,1.626753123,3.943046317,5.125170918,4.765765257,0.106949829,0.61681211,0.71563673,0.22443302,0.179529056,0.181041777,0.084272057,0.38362807,0.001402535,0.481268615,0.578057408,0.359084994,0.850177109,0.440953344,0.269526213,0.69182533,0.823483825,0.013125347,0.009308078,0.190225422,0.000184099,1.72E-05,7.30E-08,2.01E-05,0.062455796,1.46E-05,7.02E-08,0.003440788,0.001887925,0.00011729,0.00011833,0.000203151,"[(1, 2, 3)]",['-'],['-'],['-'],['-'],['-'],['-'],['-'],0.024,0,0.12,0.164,0.005,0.261,0.02
COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1,358.02,267.9598314,1.33609578,4,2,54.12,5,2,9,5,0,11,0.454545455,0,0,0.825,2.459,0.308,12,-0.522,"[(1, 2, 3, 4, 5, 6, 16, 17), (7, 8)]",['-'],['-'],['-'],0,0,0,0,-3.379526903,2.249560936,2.22774436,144.7276291,324.7581343,10.56296742,4.561250171,-5.03655542,-4.771620434,0.718901813,0.153858125,0.941474557,0.504776001,0.132317126,0.047688723,0.602508277,0.230902344,0.263611436,0.042798404,0.887752533,0.006530021,0.819913268,81.05594211,0.136264292,21.03543866,0.999993086,0.999181569,0.983196855,0.998921394,0.185139909,0.947922587,0.997538805,0.946679771,0.995927632,0.084265858,0.272377253,0.296511322,0.999321818,0.666610777,5.356124407,0.498427512,0.87633273,3.669663505,5.068677454,4.653018816,0.176463395,0.641946435,0.258567154,0.737836659,0.472999215,0.948452294,0.806385577,0.674681604,0.000190198,0.463093996,0.997458041,0.796879768,0.288522035,0.909352541,0.771847248,0.512241483,0.993437111,0.137036219,0.279292166,0.245268092,0.892273068,0.142908558,0.145849422,0.054679718,0.909925997,0.235434324,0.030768681,0.282013804,0.131238997,0.131492764,0.077749945,0.8464275,"[(7,)]",['-'],['-'],['-'],['-'],"[(7, 8)]","[(6, 5, 4, 3, 2, 17, 16), (9, 16, 5, 6, 7)]",['-'],0.359,0,0.393,0.377,0.005,0.522,0.49
O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1,314.11,330.8232543,0.949479808,4,2,65.98,3,4,9,4,0,23,0.130434783,0,0,0.581,1.969,0,20,-0.395,['-'],['-'],['-'],['-'],0,1,1,0,-4.073238925,2.772003632,4.114898708,252.5010057,377.6875106,5.316698683,1.096329163,-5.323945474,-5.014012721,0.960937977,0.044911955,0.111324675,0.001320422,0.008120239,0.005578101,0.077664435,0.930332482,0.997658849,0.516211569,0.99691236,0.00658534,0.959451258,99.2405329,-0.682652467,0.698208689,0.962965012,0.000254554,0.297364652,8.94E-07,0.010280599,0.89081794,0.031149814,0.224921897,0.000703648,0.00086614,0.008777719,0.000207002,0.999997616,0.030329598,0.574283805,1.351473504,1.263344306,3.873897981,4.703537722,4.360322552,0.33080408,0.221909761,0.965404451,0.569279194,0.670915842,0.706726313,0.029439408,0.692701817,8.32E-06,0.678971291,0.593941092,0.787766576,0.866696775,0.791097701,0.428320974,0.899778187,0.899636388,0.06075076,0.14039661,0.178911999,0.86778295,0.043827377,0.010450499,0.056894243,0.564912438,0.010485825,0.350161076,0.871663868,0.019391745,0.197195455,0.937307179,0.093754262,"[(11,)]",['-'],['-'],['-'],['-'],['-'],"[(7, 21, 10, 9, 8)]",['-'],0.955,0.975,0.799,0.798,0.255,0.801,0.91
CC(C)c1sc([C@@H]2Cc3ccccc3CN2)nc1C(=O)O,302.11,301.8870916,1.000738383,4,2,62.22,3,3,10,5,0,17,0.176470588,1,0,0.912,3.278,0.375,55.636,0.009,"[(3, 4, 5)]",['-'],['-'],['-'],0,0,0,0,-2.684357784,1.888468938,1.052719709,177.4210701,294.7270499,4.482316822,4.528560456,-4.84827968,-4.83149511,0.052117825,0.130931005,0.042315237,0.013190746,0.477552891,0.986158226,0.993227992,0.94048059,0.90425849,0.053383604,0.990189373,0.129291654,0.973967195,96.41915354,-0.231529869,4.289546209,0.000145498,0.00010739,8.14E-05,0.000181837,0.002703936,0.022570489,0.002349691,2.97E-05,4.42E-06,0.005362831,0.006426608,5.81E-08,0.719974101,0.041029371,2.745447299,1.00293391,0.332349673,3.093218581,4.580017011,3.708501729,0.082600437,0.126273245,0.970075428,0.376574814,0.410912275,0.234108508,0.707396507,0.653369009,0.020198885,0.639799535,0.634878576,0.753019035,0.323844105,0.735035241,0.424663872,0.842906475,0.989536047,0.038469903,0.012185222,0.079094313,0.067302153,0.005558034,3.94E-05,0.000723102,0.064554892,0.00018875,0.00037163,0.256527305,0.000583817,0.008256771,0.00047694,0.000513655,['-'],['-'],['-'],['-'],['-'],['-'],"[(4, 3, 17, 16, 5)]",['-'],0.19,0.333,0.103,0.203,0.006,0.56,0.302
