smiles,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,LM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,FAF-Drugs4 Rule,Genotoxic_Carcinogenicity_Mutagenicity,Aggregators,Fluc,Blue_fluorescence,Green_fluorescence,Reactive,Other_assay_interference,Promiscuous
N/C(=N\CCC[C@H](N)C(=O)O)N[C@H](CC(=O)O)C(=O)O,290.12,267.6988795,1.083755003,10,8,188.33,10,0,0,10,0,4,2.5,2,0,0.158,3.188,0.6,6,0.856,['-'],"[(8, 9, 10, 14, 15, 16, 17, 18, 19)]",['-'],['-'],0,0,0,0,-1.816820209,-0.696396228,-2.249261558,223.7209793,369.0748687,2.36377575,4.861970267,-6.156703512,-5.065253715,0.99999845,1.48E-09,0.025461078,0.236831307,0.699400544,0.071080148,0.873762816,0.95162189,0.999874115,3.19E-07,0.000215283,2.48E-06,0.828308821,7.222826991,-0.607989435,89.80143107,3.19E-18,1.51E-13,1.02E-10,3.73E-07,2.57E-06,0.183235496,9.05E-07,0.001771479,5.42E-15,1.41E-10,3.64E-08,2.62E-16,7.91E-10,4.68E-06,2.376326104,1.451962658,0.073669021,2.562992585,3.88006507,3.444453759,0.037383772,0.018881658,0.514518857,0.330352932,0.453631401,0.134976372,0.989307225,0.097999878,5.90E-05,0.146120206,0.699930966,0.413740665,0.112476513,0.723248899,0.276716411,0.778562546,0.995787561,0.006899824,0.000282775,0.0019464,2.78E-05,3.45E-07,1.14E-05,3.72E-05,6.64E-06,1.12E-07,0.047163911,0.270249188,8.98E-08,2.14E-07,0.000381809,0.002054537,['-'],['-'],['-'],['-'],"[(0, 1, 2, 11, 12, 17)]",['-'],"[(1, 2)]",['-'],0.553,0,0.041,0.017,0.01,0.962,0.273
CC(=O)Nc1ccc(C(=O)O)cc1N,194.07,190.8457743,1.016894404,5,4,92.42,3,1,6,5,0,8,0.375,0,0,0.61,1.739,0.111,8,-0.792,"[(13, 12, 11, 7, 6, 5, 4)]",['-'],['-'],['-'],0,0,0,1,-1.711371532,0.729485093,0.38707561,185.3175095,285.4978092,4.045035571,3.419149933,-5.171839568,-4.496282354,0.972189963,0.000225424,0.393283278,0.00321269,0.008994222,0.018034637,0.370098472,0.359435111,0.858356655,0.002982032,0.002787138,0.047129266,0.99740392,25.4001274,-0.467353674,73.30310523,0.000109904,0.000373049,0.00012138,0.000314955,0.004337268,0.086884178,8.77E-06,6.73E-06,4.37E-07,0.004995158,6.46E-06,5.29E-06,0.06198049,0.000881923,1.734174405,1.526088633,0.20255875,2.470366493,3.586729269,3.133553402,0.02048146,0.050946891,0.933624744,0.677587748,0.16053015,0.217625275,0.41253686,0.477077276,0.033472296,0.981751502,0.426408052,0.687731385,0.53954345,0.437853426,0.784811318,0.648935258,0.983783185,0.025188798,0.007320356,0.029400351,0.524421155,0.008122573,7.65E-05,2.86E-05,0.084298201,0.000100602,0.00161997,0.276739299,0.000476747,0.017240806,0.009055367,0.000978723,['-'],['-'],['-'],['-'],"[(4, 3), (4, 3), (4,), (5, 4, 3, 12, 13, 11, 7, 6), (0, 1, 2, 3, 4), (5, 4, 3, 12, 13, 11, 7, 6)]",['-'],"[(13, 12, 11, 7, 6, 5, 4), (3, 4, 5, 6, 7, 11, 12)]","[(12, 13), (12, 13), (4, 3, 1, 2, 0), (12,), (4,), (4, 3)]",0.006,0.001,0.33,0.242,0.119,0.6,0.398
C[N+](C)(C)c1ccc(CNC(=O)c2cc3cc(OCc4ccccc4)ccc3n2Cc2cccc(C(=N)N)c2)cc1,546.29,588.173264,0.928790942,7,4,93.13,11,5,9,7,1,30,0.366666667,0,0,0.12,2.704,0.176,30,-0.953,"[(17, 16, 15, 14, 27, 28, 26, 25)]",['-'],['-'],"[(5, 4, 40, 39, 7, 6, 8, 9, 1, 0, 2)]",0,0,1,1,-2.973654547,2.370684391,2.232046147,186.2514144,336.2921392,7.242327435,6.441067243,-6.00756163,-5.192137158,0.175606623,0.346672803,0.981664538,0.735646844,0.926319383,0.999732058,0.998330345,0.941893935,0.993780434,9.72E-07,0.41632396,2.21E-08,0.028168282,93.39625703,0.7467881,5.484434003,1.40E-08,0.019384615,7.67E-12,3.70E-12,1.77E-12,1.32E-07,3.74E-08,0.763628662,1.48E-05,7.35E-11,0.552614212,3.07E-16,2.96E-06,0.002058678,5.619844274,0.439870311,0.920504836,4.607086838,5.710508103,5.63753803,0.982137442,0.919337571,0.70607996,0.211597383,0.21170862,0.978648365,0.007282831,0.36059016,6.35E-14,0.000739114,0.834143937,0.844477415,0.999385238,0.698678374,0.345172256,0.665800691,0.999984384,0.043062702,0.079606764,0.930783093,0.168512136,0.000151275,0.000791283,0.002431474,0.229775831,0.000289737,1.82E-06,0.977978885,0.000328666,0.000344302,0.745675862,0.00179679,['-'],['-'],['-'],['-'],"[(1, 0, 2, 3, 4), (19, 18, 17, 16), (12, 10, 11, 9, 8, 7)]",['-'],"[(35, 36), (1, 4, 5, 6, 7, 39, 40), (13, 14, 27, 28, 12)]",['-'],1,0.123,0.775,0.673,0.003,0.399,0.097
CC(C)CCS[P@@](=O)(O)OP(=O)(O)O,264,205.9412791,1.281918812,6,3,104.06,6,0,0,9,0,2,3,1,0,0.63,3.784,1,7,0.446,['-'],"[(6, 8, 7, 10, 12, 11), (6, 5)]",['-'],['-'],0,0,0,0,-0.857379617,0.867209744,0.65200305,91.13652826,250.7318893,3.593808372,3.775065699,-5.220697452,-5.014712262,0.799325287,0.005051984,3.18E-07,0.236753821,0.001387,0.711545259,0.731831431,0.978964627,0.995905399,0.001050945,0.638498247,0.017650705,0.561452329,77.51683868,-0.571976907,17.06521925,1.08E-12,5.92E-19,5.50E-10,6.98E-11,0.002431195,0.999603808,0.002343322,1.42E-07,4.26E-12,9.32E-07,1.06E-13,2.51E-21,1.47E-06,0.154961258,3.31497287,1.538930475,0.150129194,2.783545406,4.123021926,3.39326277,0.01759574,0.075468779,0.982807636,0.02459909,0.63141948,0.987408638,0.995094895,0.142908692,0.446368456,0.991517723,0.979646504,0.109241582,0.028244797,0.00535656,0.050523225,0.971684098,0.999892235,0.013060259,0.013259437,0.021029733,6.57E-06,0.005961216,1.58E-08,3.48E-06,0.367958188,0.000107219,2.05E-06,4.03E-05,2.95E-06,3.08E-07,4.45E-06,1.11E-06,['-'],['-'],"[(6, 7, 8, 9, 10, 11, 12), (6, 10)]",['-'],['-'],['-'],['-'],['-'],0.007,0,0.019,0.002,0.69,0.986,0.018
CCCCCCCCCCCCCC(=O)CSCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,991.33,891.4893062,1.111993148,24,10,363.63,35,3,9,28,0,21,1.666666667,7,1,0.037,5.321,0.778,103.125,0.438,"[(16, 15, 13, 14), (15, 16, 17)]","[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9), (34, 36, 35, 38, 40, 39)]","[(51, 50, 52, 53, 54, 55, 49, 48, 47, 46)]",['-'],1,0,1,1,-2.898210797,2.247646623,2.086820287,165.6440598,334.265143,4.295022437,5.407210164,-5.670227545,-5.278358728,0.89490962,2.01E-06,1.09E-06,0.000223696,9.54E-07,0.001768053,0.020210624,0.999601185,1,4.56E-05,0.970110297,4.54E-11,0.254252076,94.9416215,-0.481794458,6.279721369,2.67E-12,6.28E-23,5.76E-09,4.25E-15,0.001465472,0.006378603,0.205203548,2.82E-06,3.19E-10,2.31E-10,2.39E-07,1.77E-30,0.996632278,0.9988029,1.354622981,1.400795673,0.309102472,4.201227027,5.823661533,4.110989909,0.011712119,0.02420895,0.990997672,0.006644718,0.002278491,0.979013681,0.999999166,0.383050054,8.56E-08,0.001560017,0.999928713,0.009313554,0.01802149,0.167551532,0.011032888,0.999980569,0.999985814,0.0697731,0.000144055,0.108631052,9.21E-09,0.001258182,6.59E-10,5.58E-08,0.030198082,5.54E-07,1.68E-08,9.11E-06,4.40E-08,1.61E-12,9.99E-08,1.42E-06,,,,,,,,,,,,,,,
NCc1[nH]cc(CCC(=O)O)c1CC(=O)O,226.1,219.5684454,1.029747237,6,5,116.41,6,1,5,6,0,7,0.857142857,0,0,0.549,2.695,0.4,8,0.198,['-'],['-'],['-'],['-'],0,0,0,0,-2.306022692,0.024935292,-2.135173146,236.0801329,327.7087584,3.095663524,6.306360188,-5.237008756,-4.661459356,0.999903679,1.69E-07,0.007592984,0.088870287,0.002506137,0.000693321,0.004695535,0.333012402,0.795024514,4.42E-06,0.016229939,0.000242051,0.954793334,34.71050749,-0.580297796,60.81257516,9.33E-09,0.000104172,2.54E-11,0.000226775,2.68E-10,0.999484777,7.28E-06,0.004515456,5.09E-10,2.42E-05,2.72E-06,0.000937404,0.001052006,2.90E-08,2.959908635,1.57413043,0.049286037,2.368732897,3.47619649,3.02303508,0.007290962,0.002316579,0.910069764,0.070314519,0.567986667,0.07380233,0.649925113,0.082218714,0.370873958,0.829520643,0.557447731,0.474493265,0.085710309,0.911512077,0.610686898,0.843651235,0.944688082,0.013746665,2.90E-05,0.000694672,0.007328858,0.010754053,0.001291234,0.000240772,0.077178501,0.168146044,0.339771748,0.151098475,0.000199654,0.00084012,0.000214343,0.000866032,['-'],['-'],['-'],['-'],"[(1, 0)]",['-'],"[(5, 11, 2, 3, 4)]",['-'],0.06,0,0.58,0.071,0.013,0.851,0.297
C=C[C@@H](C)CCCC(C)(C)O,156.15,187.6700792,0.832045261,1,1,20.23,5,0,0,1,0,1,5,1,0,0.607,3.257,0.8,4,2.054,['-'],['-'],['-'],['-'],0,0,0,1,-1.733917821,2.214366887,2.401733905,-24.7031171,174.7105218,10.56908076,7.335289433,-4.908893278,-4.749206236,0.070232794,0.027741233,0.008714136,0.000103951,0.039563417,0.647453696,0.976023562,0.990261495,0.909242213,0.925545931,0.230117276,0.105141021,0.238837838,70.50952982,0.026576986,29.97745242,0.002342729,0.989261746,0.616484463,0.996409833,0.057180524,0.997248828,0.007209805,0.85478878,0.470190108,0.614280283,0.680207431,0.973980188,0.986237288,0.989689589,9.461948966,0.876434496,0.981155167,3.050622922,4.315836312,3.606985213,0.044749789,0.427444249,0.053465378,0.373337746,0.20361051,0.221531957,0.936861396,0.600548267,0.998371899,0.998657703,0.767840207,0.352645069,0.222098485,0.292514503,0.221484259,0.18860665,0.006520031,0.03843439,0.067222305,0.067246243,0.001798661,0.001487941,0.000106596,0.005162782,0.525185585,0.000743633,0.021083305,0.03570202,4.46E-05,0.001596475,0.013861262,0.000712003,['-'],['-'],['-'],['-'],['-'],"[(10, 7, 6)]","[(1, 0)]",['-'],0.02,0.001,0.001,0,0.998,0.307,0.347
C[C@H](N)C(=O)CCCCCC(=O)O,187.12,196.3148495,0.953162741,4,3,80.39,7,0,0,4,0,2,3.5,1,0,0.581,2.573,0.778,3,0.796,['-'],['-'],['-'],['-'],0,0,0,1,-0.098819597,-0.245021458,-1.947414513,197.4186231,264.334468,4.663768491,8.523895193,-5.507837635,-4.919040892,0.983548224,1.93E-05,0.220485702,0.001388907,0.00073725,0.000163913,0.002693534,0.019753871,0.698647916,0.000102993,0.191133752,0.001312136,0.97580862,39.80680569,-0.115745594,56.68112303,0.004002718,1.87E-06,5.88E-05,0.005219168,0.001215357,0.000314674,0.03884878,0.002225625,0.000108957,2.19E-06,0.986536682,3.99E-05,0.940429628,0.014639808,3.623075279,1.219100674,0.071856615,2.686959672,3.727682809,3.297277353,0.048179712,0.10812971,0.238299891,0.367946118,0.214801639,0.288333803,0.714830756,0.421966672,0.813834548,0.862466037,0.731491089,0.7951594,0.753333509,0.841863215,0.587725818,0.689268947,0.848828256,0.038420528,0.001909129,0.006034126,0.097509511,0.003538863,0.001428573,0.116497815,0.089741968,0.001812086,0.404986084,0.060623482,0.000196162,0.000536704,0.000176277,0.067100838,"[(1, 3, 4, 5)]",['-'],['-'],['-'],"[(1, 3, 4, 5)]",['-'],"[(1, 3, 4, 5)]",['-'],0.365,0,0.021,0.001,0.714,0.515,0.88
NCC1=N[C@@H](CC2C=CC(=O)C=C2)C(=O)N1CC=O,261.11,259.8335579,1.004912537,6,2,92.83,5,2,6,6,0,14,0.357142857,1,1,0.672,4.443,0.385,26.667,0.481,"[(7, 8, 9, 10, 11), (16, 17, 18)]","[(16, 17, 18)]",['-'],['-'],0,0,0,0,-1.422360659,-0.281469249,-0.62192898,175.5129883,283.4273147,8.259404267,5.985239721,-5.394605206,-4.873161057,0.096152447,0.036295075,0.997448087,9.18E-06,0.023095906,0.053048491,0.017422974,0.030215615,0.001900421,0.00036378,0.651717126,0.324889392,0.669902503,22.01547119,-0.070660795,74.9237808,0.112500601,0.258540303,7.02E-05,0.053602144,2.67E-06,0.001699778,3.07E-05,0.065493211,0.013835079,0.418747336,0.000194805,0.000265094,0.078829363,0.017568437,7.764841905,1.817903607,0.951106192,3.879063436,4.827025095,4.657234748,0.151919976,0.364603817,0.336287439,0.613099515,0.403885961,0.82168591,0.986608565,0.415813565,0.017494641,0.402228028,0.698954999,0.771556258,0.953600705,0.435169667,0.669424057,0.414678931,0.997062743,0.073422737,0.017197868,0.219140112,0.021170331,0.014495996,0.042910878,0.054031976,0.181111366,0.003279895,0.006744488,0.161771953,0.001697035,0.00108357,0.001566134,0.128042608,"[(8, 9, 10, 11)]","[(9, 10, 8, 7)]","[(16, 17, 18)]",['-'],"[(17, 18, 16), (16, 17, 18), (7, 6, 8, 9, 11, 10), (1, 0), (7, 8, 9), (1, 2, 3, 15, 13, 14), (1, 2, 3, 15, 16, 17)]","[(7, 8, 9, 10, 11), (7,)]","[(16, 17, 18), (7, 8, 9)]","[(7, 8, 9, 10, 11)]",0.149,0.083,0.208,0.333,0.146,0.069,0.224
CCCC[C@H](OP(=O)(O)O)C(=O)N[C@@H](CC(C)C)C(=O)Nc1ccc([N+](=O)[O-])cc1,445.16,418.6483317,1.063326822,11,4,168.1,14,1,6,12,0,10,1.4,2,0,0.216,3.23,0.556,28,-0.449,"[(20, 21, 22, 23, 24, 25, 28, 29), (24, 25, 26, 27)]",['-'],['-'],['-'],0,0,1,0,-3.005090919,2.00078322,1.418419195,164.4549923,287.6361022,3.250929665,4.146279593,-5.70344989,-5.075231088,0.999249995,0.501397669,0.000621902,0.459380686,0.699179202,0.983800428,0.999318552,0.955698013,0.999527335,0.003269933,0.975213051,1.23E-06,0.978918016,96.09178934,-0.409831604,3.751026419,6.35E-05,3.75E-09,0.869849563,0.000817729,0.500228226,0.594639838,0.068709888,1.20E-07,0.00177503,2.99E-07,0.772520602,2.03E-13,0.458313346,0.983550847,2.048533751,1.281774438,0.476653981,3.142324643,4.768594511,4.070418505,0.11603903,0.247283503,0.989919782,0.162442207,0.088266112,0.92625767,0.989018202,0.330990732,0.284649998,0.978859186,0.976383328,0.560427606,0.002107982,0.058427751,0.259974211,0.952999651,0.999987483,0.104149289,0.00984609,0.261720508,0.001199791,0.144416079,0.001510983,0.060395833,0.979810238,0.315572321,0.001811297,0.764108121,0.003850295,0.014338735,0.890259504,0.117137522,"[(24,), (25,)]",['-'],['-'],['-'],"[(21, 20), (21, 20), (21,), (13, 18, 19, 20, 21), (4, 10, 11, 12, 13, 18)]",['-'],"[(20, 21, 22, 23, 24, 28, 29), (25,), (23, 22, 21, 29, 28, 24, 25)]","[(24, 25), (24, 25), (24, 25), (24, 25), (24, 25), (21, 20)]",0.948,0,0.002,0.509,0.013,0.981,0.039
