smiles,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,LM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,FAF-Drugs4 Rule,Genotoxic_Carcinogenicity_Mutagenicity,Aggregators,Fluc,Blue_fluorescence,Green_fluorescence,Reactive,Other_assay_interference,Promiscuous
O=C(O)C[C@H](Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O)C(=O)O,463.07,380.715675,1.216314511,16,7,246.68,9,3,9,17,0,18,0.5,5,1,0.197,4.08,0.5,77.762,0.901,['-'],['-'],['-'],['-'],1,0,1,0,-1.204718267,-0.839277094,-3.303552758,279.0718428,425.3209848,0.592091551,2.112131385,-5.931314901,-5.29900899,0.999968648,1.38E-08,2.38E-09,0.045380533,2.94E-05,0.059949934,0.017824233,0.999996662,0.999999881,6.58E-06,0.012498224,7.43E-07,0.54242301,20.9481892,-0.642792592,71.92510139,9.26E-18,5.97E-24,3.03E-16,1.87E-17,7.90E-08,0.961369336,7.31E-09,5.29E-12,1.93E-17,5.80E-14,8.10E-13,9.62E-33,8.58E-08,0.431105614,1.996415907,2.193547501,0.050986319,2.381954344,3.785578959,3.45429034,0.003234032,0.000626292,0.997095346,0.052271567,0.070379503,0.839336634,0.963182509,0.165764228,6.48E-05,0.382235348,0.950238109,0.509958506,0.03673568,0.916098356,0.056795776,0.999538779,0.999839306,0.029161677,0.000203153,0.002505485,2.59E-06,0.003940193,5.37E-05,0.000121963,0.004606578,0.000154922,0.002001492,0.232357696,0.019455783,7.73E-07,0.000200545,0.010691488,"[(15, 16, 17)]",['-'],['-'],['-'],"[(6, 5), (6, 5)]",['-'],"[(15, 14, 13, 12, 11, 10)]","[(6, 5)]",0.038,0,0.071,0.165,0.039,1,0.042
CCCC[C@@H](N)C(=O)O,131.09,138.2731258,0.948051179,3,3,63.32,4,0,0,3,0,1,4,1,0,0.587,2.271,0.833,2,1.174,['-'],['-'],['-'],['-'],0,0,0,1,-0.208024812,0.451523217,-0.739138104,167.413908,248.7332365,3.952063933,5.65351434,-5.556544266,-4.810144632,0.993515611,7.75E-06,0.346733451,2.88E-05,0.001026511,0.001266062,0.003580213,0.623773456,0.629609406,0.002071916,0.012917385,0.76687324,0.60139519,37.3387447,-0.048787359,63.65373434,1.04E-05,1.55E-10,0.001264161,0.000162327,1.12E-05,0.004154497,7.64E-07,0.937992513,3.13E-07,2.10E-06,0.007264329,3.30E-08,0.066548824,0.007161409,8.297705388,1.045803067,0.24965368,2.811348914,4.016285868,3.249313034,0.06562344,0.263058096,0.013170277,0.454232365,0.386087,0.049729299,0.939302266,0.085637435,0.957853258,0.962310076,0.372434258,0.238668233,0.38294813,0.055609047,0.122177668,0.746652246,0.007109698,0.111334838,0.006580628,0.062824123,0.000205022,0.002771987,0.000388981,0.000263037,0.206727982,1.35E-05,0.002305159,0.000946177,3.06E-07,4.34E-06,4.47E-05,5.37E-05,['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],0.582,0,0.014,0.005,0.831,0.899,0.949
CCC(=O)[C@@H](C)c1cc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)cc1C(N)=O,747.17,640.2268859,1.167039399,22,9,338.16,14,5,9,24,0,30,0.466666667,11,1,0.066,5.712,0.538,132.6,0.739,['-'],"[(15, 17, 16, 19, 21, 20)]","[(32, 31, 33, 34, 35, 36, 30, 29, 28, 27)]",['-'],1,0,1,1,-1.614096137,-0.603969862,-1.653272291,206.2195942,390.7353045,5.551447635,3.360384959,-5.875888197,-5.316274135,0.999988437,4.40E-07,5.12E-18,7.15E-07,0,0.009322286,8.34E-07,1,1,3.19E-08,0.990468681,1.75E-11,0.992573738,29.16084215,-0.437977097,67.38033778,2.33E-12,1.65E-10,7.40E-13,5.78E-11,1.87E-10,2.68E-10,7.42E-12,7.28E-14,5.17E-06,1.15E-09,0.024968309,5.10E-30,0.243747801,0.000974875,1.568767541,1.648696228,0.04726053,2.525370387,4.099516954,3.37217074,0.037373561,0.068508931,0.999757707,0.732860744,0.356154084,0.98858273,0.999819934,0.727761567,1.83E-08,0.145550504,0.949082255,0.542957783,0.294248939,0.025303189,0.29418996,0.998318434,1,0.190724596,0.000406311,0.085870393,1.85E-06,3.79E-05,8.20E-07,2.01E-05,0.003944507,3.51E-06,6.12E-07,0.002198982,9.56E-09,1.37E-10,9.55E-06,0.010326714,,,,,,,,,,,,,,,
N[C@@H](CCS)C(=O)O,135.04,122.1901799,1.105162462,3,3,63.32,3,0,0,4,0,1,3,1,0,0.466,3.094,0.75,2,1.315,"[(3, 4)]",['-'],['-'],['-'],0,0,0,1,-0.117757309,-0.005155877,-1.473771575,192.9995283,246.7764737,3.002535113,5.542008251,-5.689047258,-5.129460445,0.991787612,3.29E-06,0.023430889,0.00016737,1.91E-05,0.000775576,0.002862811,0.742058456,0.926055789,0.000119876,0.027267376,0.280910999,0.268099487,20.48890152,-0.189069209,87.4763388,6.02E-07,5.40E-11,4.02E-05,0.001655447,1.42E-05,0.05117166,1.47E-05,0.943199813,4.90E-10,2.07E-06,0.006491587,9.46E-11,0.002532282,0.000174792,11.03403308,1.278990937,0.229449828,2.76441425,4.118305953,3.294370512,0.004109285,0.092028454,0.20166482,0.494607359,0.661857784,0.002469069,0.997911632,0.16701673,0.921974063,0.968898833,0.834436595,0.798906803,0.347475469,0.095403403,0.639621079,0.98962599,0.401753634,0.04912727,0.001779763,0.00494235,7.24E-05,8.40E-05,2.79E-05,4.61E-05,0.044119541,1.23E-05,8.76E-05,0.010700661,0.000178252,0.000149518,7.23E-05,0.002042732,['-'],['-'],"[(3, 4)]",['-'],"[(4,)]",['-'],"[(3, 4)]",['-'],0.344,0,0.009,0.001,0.937,0.939,0.341
CC1=C(CCC(O)=O)C2=CC3=C(C)C(CCC(O)=O)=C4C=C5N6C(=CC7=C(C)C(CCC(O)=O)=C8C=C1N2[Co]6(N78)N34)C(CCC(O)=O)=C5C,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule,Invalid Molecule
COC(=O)[C@H](Cc1cccc(C(=N)N)c1)[C@@H](C)NC(=O)c1ccc(-c2cccc(CN)c2)cc1,458.23,488.598899,0.937844929,7,6,131.29,11,3,6,7,0,21,0.523809524,2,0,0.222,3.098,0.222,40,-0.156,['-'],['-'],['-'],['-'],0,0,1,0,-2.922021487,2.092902207,1.442435558,153.5402508,285.876448,8.789382602,8.622693375,-6.055630048,-5.129708936,0.119460687,0.036374375,0.99862802,0.009175122,0.008256733,0.781474665,0.94477798,0.975894868,0.998129427,0.005134718,0.343618989,4.64E-08,0.0126103,45.3006621,0.072813852,52.94237475,0.000177917,0.001295035,3.78E-09,4.83E-09,1.07E-09,7.35E-10,4.40E-09,1.53E-06,0.007743942,2.58E-05,0.999907374,7.43E-16,0.999826491,1.47E-06,5.779558985,0.80166968,0.706201474,3.744948973,4.856121864,4.349577555,0.894627094,0.761001706,0.715085268,0.080623917,0.635238647,0.929470599,0.929459512,0.048591454,2.88E-08,0.005762462,0.86231488,0.874115705,0.995280921,0.741312206,0.103838779,0.723409057,0.998958826,0.097405009,0.183345467,0.741189003,0.122700624,0.000576832,0.005207715,0.003953548,0.030054696,6.21E-05,4.91E-06,0.892166376,0.000496597,0.000387506,0.394828737,0.271676719,['-'],['-'],['-'],['-'],"[(29, 30)]",['-'],"[(11, 12)]",['-'],0.994,0.769,0.111,0.945,0.003,0.027,0.249
Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@H](O)CO)CN2,255.1,226.7062831,1.125244508,9,7,156.85,3,2,10,9,0,12,0.25,2,0,0.35,4.49,0.444,41,0.898,['-'],['-'],['-'],['-'],0,0,0,0,-2.025786944,-0.963932104,-1.932041591,288.4069218,396.1280442,8.980207805,3.861467098,-5.748136242,-5.182646082,0.988350034,6.39E-06,0.813225806,0.394012451,0.028556824,0.585549176,0.852997765,0.672941744,0.887020886,0.003022485,4.14E-06,0.029280126,0.047522657,16.54477618,-0.083948385,85.74863752,0.000520348,0.00011442,3.81E-09,8.41E-07,6.82E-06,0.177730188,7.57E-05,0.000307146,1.19E-08,1.41E-05,0.001415091,5.17E-17,0.000213974,0.200112104,3.628905648,1.754815502,0.087649978,2.370665242,4.080979338,3.167443896,0.026332444,0.039920609,0.967585444,0.909611344,0.129951894,0.144507915,0.569499135,0.681511164,1.88E-07,0.637607336,0.153516442,0.929920495,0.877727807,0.878830075,0.687723041,0.785107851,0.999798477,0.07741648,0.145246863,0.170002684,0.026621178,0.000146609,5.22E-05,9.03E-06,0.051760141,3.83E-05,1.69E-06,0.00913673,2.27E-05,0.000111188,0.001687349,0.00043823,['-'],['-'],['-'],['-'],"[(1, 0), (1, 0)]",['-'],['-'],"[(1, 0), (1, 0), (1, 0), (1,), (1, 0)]",0.12,0,0.691,0.037,0.058,0.372,0.139
CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O,235.11,216.7655304,1.084628168,7,4,108.25,4,1,6,7,0,7,0.571428571,5,0,0.433,3.579,0.889,23.294,1.771,['-'],['-'],['-'],['-'],0,0,0,0,0.419299868,-1.50915943,-1.697432276,110.4215586,282.9843258,8.846028642,4.042409426,-5.619521659,-4.986604316,0.926196575,0.002874953,0.861279547,0.772869036,0.816855714,0.982596161,0.955024626,0.976110637,0.990672112,0.009309841,0.00203676,0.022560114,0.43828252,20.79326684,-0.579330568,85.89014268,4.70E-05,0.007487087,3.58E-06,0.001181049,7.77E-05,0.001907378,6.55E-07,0.00086638,3.18E-05,0.026354373,0.072946697,4.72E-10,0.012371485,0.003583728,3.086595864,1.911033584,0.066866279,1.641705978,2.753726735,2.116284189,0.01583722,0.092415459,0.880035579,0.900085032,0.031943932,0.025103111,0.991859376,0.202834815,0.000164034,0.451004177,0.089990199,0.74462539,0.145717859,0.879292607,0.682765543,0.623358309,0.894816458,0.103939347,0.092886314,0.069599204,0.001161048,0.010476988,0.004786489,0.00029118,0.773301482,0.004653798,4.75E-05,0.209073842,0.002226408,0.000767828,0.001302194,0.046021927,"[(0, 1, 2)]",['-'],['-'],['-'],"[(2,)]",['-'],['-'],['-'],0.172,0,0.018,0.003,0.023,0.047,0.008
CN1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCc2ccccc2)CCS(=O)(=O)NOCc2ccccc2)CC1,621.3,633.5410493,0.980678364,10,3,120.08,18,4,6,11,0,28,0.642857143,2,0,0.225,3.419,0.394,76.174,-0.548,"[(30, 31, 32, 33)]",['-'],['-'],['-'],0,0,1,1,-3.188586193,2.590194186,2.683780417,125.060451,311.4194039,7.520591983,7.147658061,-5.961095434,-4.831198418,0.022247173,0.999204814,0.999318838,0.000216901,0.976761192,0.99992906,0.998893299,0.999393821,0.934894145,0.003125765,0.999985576,9.39E-05,0.016106326,95.14096115,-0.245963705,5.655944254,1.07E-06,3.70E-09,0.999984622,0.998410583,0.102763243,0.14702715,0.775555253,0.977847457,0.999999523,0.05549074,0.004476541,8.57E-13,0.143327236,0.999999523,4.619821223,0.597321066,0.921370002,3.676838287,5.231506895,4.669448553,0.877200544,0.794950902,0.200503469,0.111904591,0.351893812,0.972576439,0.995405316,0.002234061,4.20E-06,0.000180575,0.872950196,0.79316926,0.907708764,0.62007463,0.137725085,0.976287663,0.995658517,0.008955653,0.009659391,0.48632893,0.028779889,0.15191415,0.016141267,7.17E-05,0.097328544,0.028959477,0.000580633,0.933934569,0.024904493,0.00639571,0.005273364,0.051247258,['-'],['-'],['-'],['-'],"[(4, 5, 6, 7, 8, 16)]",['-'],['-'],['-'],0.421,0.001,0.082,0.756,0.007,0.057,0.132
O=C1C[C@@H](c2ccc(O)cc2)Oc2ccccc21,240.08,250.2423287,0.959390049,3,1,46.53,1,3,10,3,0,18,0.055555556,1,0,0.833,2.432,0.133,48.529,1.035,"[(12, 13, 14, 15, 16, 17, 1, 0, 2), (8, 7, 6, 5, 4, 10, 9)]","[(0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17)]",['-'],['-'],0,1,0,0,-4.09595435,3.164391268,3.072258967,164.1284463,335.2981115,9.103533964,4.470452523,-4.803410817,-4.696856812,0.196523681,0.999052465,0.261496335,4.53E-06,4.29E-05,0.358385026,0.975641452,0.756874561,0.99317944,0.998535872,0.988170624,0.00950103,0.831584752,95.98771891,0.020567222,5.268642702,0.056863967,0.057588492,0.989634812,0.041661467,0.999320865,0.140282124,0.001324889,0.295053542,0.998089015,0.000358403,0.48074159,1.18E-06,0.912023127,0.998070896,5.231753101,1.252966908,1.245963635,3.955573461,4.71163598,4.404977965,0.207670555,0.595454872,0.250177443,0.647359252,0.415939927,0.502062321,0.657436967,0.626813173,0.112851769,0.994468689,0.111721694,0.685273528,0.91687274,0.233675361,0.151465133,0.532788754,0.730737448,0.055486143,0.156031787,0.461349845,0.671315193,0.018299572,0.01047986,0.357452393,0.950051069,0.667885244,0.07964877,0.797103584,0.211738512,0.157277644,0.961845875,0.266223311,['-'],['-'],['-'],['-'],"[(2, 1, 0, 17), (4, 3, 11, 12)]",['-'],"[(8, 7, 6, 5, 4, 10, 9)]",['-'],0.594,0.859,0.155,0.242,0.85,0.451,0.118
