smiles,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,LM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,FAF-Drugs4 Rule,Genotoxic_Carcinogenicity_Mutagenicity,Aggregators,Fluc,Blue_fluorescence,Green_fluorescence,Reactive,Other_assay_interference,Promiscuous
CC(C)C(=O)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,361.14,340.1025708,1.061856131,10,4,155.99,5,3,9,10,0,17,0.294117647,4,1,0.602,4.377,0.5,70,0.308,['-'],['-'],['-'],['-'],0,0,0,0,-2.507272316,0.993673585,0.590308601,175.4923942,311.0502532,7.566332223,2.62050575,-6.074677313,-4.957099825,0.947565436,0.001257631,0.072815299,0.004387975,0.369881749,0.528461576,0.806876034,0.035894349,0.257296473,0.005413813,0.89525485,0.09883292,0.403877556,65.0853475,-0.041999456,34.7477953,1.83E-05,0.000612992,1.79E-06,2.64E-08,1.80E-06,0.000246059,8.21E-05,1.15E-08,0.120777972,0.926507294,0.007595105,5.10E-11,0.355662107,0.067729823,4.005434796,3.009799468,0.213541918,2.813375995,4.15163353,3.337795078,0.008118832,0.205570281,0.989637971,0.700410724,0.681942642,0.610134959,0.582068503,0.73680377,1.78E-05,0.625479698,0.999475181,0.674413264,0.715539098,0.948532164,0.044439707,0.488963783,0.999317884,0.268561602,0.047939263,0.49448666,0.013040009,0.07360632,0.002166013,0.00094319,0.025606191,1.04E-05,9.44E-05,0.005936475,8.64E-06,2.91E-07,0.001837306,0.002428053,"[(7, 8, 9), (21,)]",['-'],['-'],['-'],"[(16, 17), (16, 17)]",['-'],"[(11, 10, 9), (13, 14, 15, 21, 12)]","[(16, 17), (16, 17), (16, 17), (16,), (16, 17)]",0.331,0.001,0.043,0.11,0.012,0.411,0.079
Cc1cn2c(nc1=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]12,240.07,213.8822135,1.122440226,7,2,93.81,1,3,12,7,0,15,0.066666667,4,1,0.624,4.114,0.6,59.5,1.486,['-'],['-'],['-'],['-'],0,0,0,0,-1.119360144,-0.630946518,-1.104013033,191.7142141,325.8476687,8.539832403,2.717497903,-5.87385497,-5.218562632,0.617801189,0.053863131,0.066124059,0.014500499,0.029289305,0.110117972,0.030742228,0.806823969,0.666776121,0.002421865,0.504983842,0.161471948,0.925531447,10.06720524,-0.090267718,88.1536834,6.62E-05,0.26120922,4.78E-05,0.032810025,0.000334179,0.299900681,5.40E-05,0.001589489,0.056107584,0.575069427,0.058352876,7.08E-08,0.005708857,0.014375842,6.756624734,1.335479238,0.107338769,2.512982116,3.991728009,3.146322392,0.024375884,0.179061323,0.965117812,0.846892118,0.178083837,0.032192372,0.991467357,0.581641734,0.003759557,0.788034081,0.141176969,0.788724005,0.489998072,0.62121886,0.588037074,0.759189785,0.991485059,0.111145929,0.084940635,0.102069281,0.026990322,0.1542909,0.006251403,0.052068505,0.062524311,0.006689922,0.005696069,0.163584292,0.003626479,0.0060999,0.002478685,0.414428711,"[(12, 15, 16)]",['-'],['-'],['-'],['-'],['-'],['-'],['-'],0.146,0,0.066,0.009,0.038,0.062,0.082
CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)C4)c(Cl)cn2)C1,429.19,424.1624104,1.011852983,7,2,88.91,6,4,8,8,0,23,0.260869565,2,0,0.773,3.754,0.545,88.235,-0.921,['-'],['-'],['-'],['-'],0,0,1,0,-4.747156055,3.188868999,3.257945142,166.3729808,298.1247667,8.743677021,5.322170968,-4.924844467,-4.826949514,0.140145048,0.005683131,0.060235668,5.36E-06,2.79E-05,4.91E-05,0.865989298,0.965332568,0.988275826,9.14E-06,0.990119219,0.016384786,0.69890517,85.35101512,0.108846167,12.32913936,0.001618661,0.020223889,0.090599656,0.010992203,0.000190378,0.000263565,2.22E-06,0.000429603,0.030835139,0.951091826,0.999961138,5.58E-16,0.627117217,0.007043726,6.891070289,0.266824972,0.891358025,3.776576035,5.484912173,4.733073901,0.700380921,0.391025186,0.975275159,0.920448244,0.573699117,0.996557772,0.851026833,0.827095389,7.40E-10,0.002938094,0.63991487,0.841642201,0.972235799,0.832525253,0.071660116,0.987515092,0.999018669,0.283243656,0.885995984,0.902360916,0.020367678,0.030283112,6.64E-05,0.000259298,0.024008216,9.12E-05,0.000134567,0.932108164,0.048004042,0.000215449,0.003592916,0.006744715,"[(25,), (28,)]",['-'],['-'],['-'],"[(12, 11), (12, 11), (12,), (8, 9, 10, 11, 12)]","[(25, 26)]",['-'],"[(12, 11)]",0.084,0.031,0.155,0.578,0.001,0.176,0.182
C[C@H]1CN(C(=O)CC[C@@]2(C3CC3)NC(=O)NC2=O)CCN1c1cc(F)cc(F)c1,406.18,386.9244151,1.049765753,7,2,81.75,6,4,6,9,0,23,0.260869565,2,0,0.731,3.604,0.55,87.903,-1.094,"[(20, 21, 22, 23, 25, 26, 28)]",['-'],['-'],['-'],0,0,1,0,-3.17027346,2.047827857,1.76171913,163.6109922,292.1723672,8.310973824,5.405440319,-5.056526177,-4.661844887,0.002909821,0.889040351,0.78568095,8.34E-07,7.62E-05,0.000479698,3.12E-05,0.998161256,0.692667603,0.001669148,0.999996901,0.085829981,0.998705387,95.6143951,-0.085198904,3.641208921,1.23E-05,0.741681814,0.000510921,0.956895292,0.007072359,0.995785058,3.55E-07,0.445367217,0.024658684,0.998899102,3.27E-08,3.72E-09,5.19E-06,0.007130146,2.086825919,0.919323645,0.432424763,3.164565463,4.755514335,3.643584957,0.35561192,0.184881136,0.969724238,0.218271479,0.717783868,0.833453178,0.012226737,0.186427012,2.96E-08,0.004167465,0.344399214,0.94599396,0.853951991,0.871705234,0.569399774,0.972260058,0.999998093,0.065736495,0.04113673,0.204304516,0.000492317,0.00230841,0.000180216,0.000109019,0.017005544,4.77E-05,1.57E-05,0.316143662,6.29E-06,0.000256951,0.001352952,0.000261538,"[(23,)]",['-'],['-'],"[(3, 2, 1, 20, 21, 22, 23, 25, 26, 28, 19, 18)]","[(8, 16, 17, 15, 13, 14), (8, 16, 17, 15, 13, 12), (15, 13, 14, 12, 8, 16)]","[(23, 24)]","[(14, 13, 15, 16, 17, 8, 12), (20, 21, 22, 23, 25, 26, 28)]","[(21, 20)]",0.148,0,0.007,0.261,0.001,0.038,0.006
CNc1ccc(-c2cc3cc(O)ccc3o2)c([18F])n1,257.08,252.2171967,1.019280221,4,2,58.29,2,3,9,5,0,16,0.125,0,0,0.691,2.556,0.071,16,-0.02,"[(1, 2, 3, 4, 5, 16, 18)]",['-'],['-'],['-'],0,0,0,0,-3.290330549,2.091823269,2.371056735,181.8734256,306.565916,8.123767195,5.228604865,-5.078484677,-4.862763132,0.702886522,0.012102671,0.183308914,0.012163341,0.192667603,0.214835227,0.788309649,0.774389982,0.832287312,0.282222837,0.491291523,0.214291707,0.525329709,92.20342152,0.099131014,7.910289515,0.997921646,0.227252945,0.478014201,0.071208589,0.031407651,0.833057702,0.005546613,0.939250708,0.583913386,0.026595125,0.758755863,0.009022905,0.994731903,0.942139328,7.936495807,0.835710977,1.179469514,3.769289381,4.926608633,4.308219848,0.158428013,0.400030822,0.767300248,0.68316561,0.586008966,0.344894618,0.400750846,0.741767943,0.04250782,0.984353483,0.783183217,0.559318781,0.519974411,0.305745631,0.188982293,0.413440585,0.975464582,0.048754234,0.144828275,0.381806493,0.987837553,0.199975401,0.597789764,0.836972117,0.962943256,0.632729173,0.624742568,0.997004688,0.965972304,0.450745285,0.995686829,0.883812129,"[(16,), (18,)]",['-'],['-'],['-'],"[(2, 1), (2, 1)]","[(16, 17)]","[(6, 7, 8, 14, 15), (11, 10, 9, 8, 14, 13, 12)]","[(2, 1, 0), (2, 1), (2,), (2, 1), (2, 1)]",0.602,0.977,0.991,0.65,0.085,0.893,0.034
N=C(N)NCCC[C@@H]1NC(=O)[C@H](CCCCNC(=O)[C@H]2O[C@@H](CNC(=O)Cn3cc(CCC[18F])nn3)[C@H](O)[C@@H](O)[C@H]2O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O,960.44,909.8539892,1.055597944,26,15,403.53,24,4,15,27,0,41,0.585365854,9,1,0.032,5.99,0.585,109.154,0.197,['-'],['-'],['-'],['-'],1,0,1,1,-2.48856349,-0.649364222,-1.549141081,224.6443023,334.4073443,3.142999705,5.877425275,-6.540659396,-5.049208844,0.999985337,1.89E-05,0.99885273,0.970522851,0.9833996,0.999975754,0.999869371,0.306932271,0.760202646,1.65E-08,0.001231,1.17E-07,0.012147742,33.45381146,-0.586644561,66.19532117,6.72E-24,1.57E-13,7.03E-14,0.001805608,1.32E-19,5.86E-13,5.90E-17,3.11E-09,0.018974176,0.006736191,6.10E-11,0,5.65E-13,1.15E-06,1.098302742,2.929448489,0.041316814,2.824561485,4.478039497,3.524363125,0.080061488,0.017152745,0.827167869,0.116451316,0.225644112,0.030623347,0.999973655,0.003014583,6.34E-19,1.13E-07,0.18886818,0.393958986,0.13214761,0.977228343,0.021824734,0.999005616,1,0.032095019,2.22E-05,0.002652996,1.42E-08,3.80E-07,0.000276659,3.04E-09,3.87E-05,7.83E-08,1.97E-10,0.798989534,9.95E-07,1.84E-09,1.34E-09,5.76E-07,,,,,,,,,,,,,,,
CN(CCCN1CCN(C(=O)CN2CCN(CC(=O)[O-])CCN(CC(=O)[O-])CCN(CC(=O)[O-])CC2)CC1)c1ccc2nccc(C(=O)NCC(=O)N3CC(F)(F)C[C@H]3C#N)c2c1,882.41,848.8924307,1.039483883,20,1,246.23,19,5,12,22,-3,41,0.463414634,1,0,0.166,4.977,0.61,128.939,-1.065,"[(1, 38, 39, 40, 41, 42, 43, 44, 45, 61, 62), (1, 38, 62, 61, 45, 44, 43, 42, 41, 40, 39)]","[(12,), (17, 18, 19, 24, 25, 26, 31, 32, 33), (5, 12, 15, 22)]",['-'],['-'],1,0,1,1,-2.143609749,-0.069674702,-0.481160505,207.2475143,392.4704367,11.02339204,7.745247069,-5.162706294,-4.838686972,0.564557016,0.001154831,4.85E-05,0.112044215,0.147787094,0.675808549,0.668812484,0.677184045,0.998728693,4.11E-11,1,6.57E-08,0.999483228,37.06926577,-0.113096947,64.39350656,6.78E-15,0.871608138,0.178745165,0.943166018,0.000355407,0.000562692,0.000570068,0.81671524,0.035964832,0.252243549,7.36E-07,3.10E-16,9.20E-09,0.034538683,1.685956572,2.826887016,0.528976179,3.308524819,5.414103384,4.534315446,0.999682188,0.409493744,0.833213687,0.14886871,0.917357922,0.752838314,0.205544934,0.264251441,3.69E-13,1.34E-06,0.999856949,0.887867451,0.997311592,0.961985528,0.429382533,0.999995112,1,0.14979814,0.020137545,0.723513365,0.000293827,0.001929622,0.304174066,9.00E-07,0.199991077,0.000349179,2.18E-10,0.607268572,0.000280977,4.39E-06,5.24E-07,0.000999216,,,,,,,,,,,,,,,
Cn1cnc(Cn2c(=O)[nH]c(=Nc3cc4cn(C)nc4cc3Cl)n(Cc3cc(F)c(F)cc3F)c2=O)n1,531.11,464.6133759,1.143122492,11,1,120.68,5,5,9,15,0,30,0.166666667,0,0,0.346,3.612,0.182,31,-1.319,['-'],['-'],['-'],['-'],1,0,1,1,-4.330115186,2.887939552,2.697223853,170.4856538,301.5029224,8.164273877,5.030391992,-4.939296144,-4.766367923,0.82007885,0.204596162,0.000299393,0.000267923,0.00119853,0.007504344,0.001161158,0.991984963,0.751578093,9.17E-06,0.999996901,0.004352967,0.998427987,96.89529402,0.039719434,2.606964497,0.510201871,0.946865261,0.034229804,6.44E-05,0.865960956,3.18E-05,0.000248074,4.67E-06,0.008128806,0.317333668,0.004062379,1.26E-08,0.994535327,0.002092176,3.872201151,0.850373041,1.391101402,3.959833861,5.257712147,4.915731998,0.172375679,0.388995498,0.999946594,0.939930797,0.487733811,0.845366061,0.01968972,0.926455081,1.55E-10,0.00157528,0.688993454,0.994156718,0.999079704,0.967881739,0.618475974,0.993306577,1,0.055942867,0.080416039,0.847277403,0.03656185,0.011860479,5.13E-07,0.010280564,0.000155606,1.49E-06,4.94E-08,0.047930416,1.55E-05,0.01192421,0.000391504,0.000793258,"[(21,), (6,)]","[(12, 13, 14, 19, 20, 21, 22)]",['-'],['-'],['-'],"[(21, 22)]","[(11, 12, 13, 14, 19, 20, 21), (0, 1, 2, 3, 4, 36)]",['-'],0.45,0.066,0.599,0.946,0.014,0.325,0.001
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,448.11,438.0064255,1.023067183,6,2,76.14,8,4,10,8,0,25,0.32,0,0,0.346,2.331,0.042,22,-1.579,"[(4, 5, 31, 30, 12, 11, 10, 9, 8, 7, 6), (0, 1, 2, 3, 4), (13, 14, 15, 16, 17, 27, 29), (18, 17, 16, 15, 14, 29, 27)]","[(0, 1, 2, 3), (0, 1)]",['-'],['-'],0,0,1,0,-6.771089216,4.067088169,4.920589092,143.6912,407.2799417,10.99411941,2.956007356,-5.457200523,-4.909076381,0.790045917,0.518171012,0.000585169,0.001918077,0.576353937,0.77399689,0.986985483,0.999988794,0.999999762,0.962369382,0.99999845,3.52E-05,0.42588684,99.36368669,0.629645244,0.236753202,0.993723094,0.001772872,0.904906392,0.000583468,0.295487136,0.980899692,0.227242991,0.997443795,0.988559544,0.988885522,0.98430723,5.69E-09,1,0.972480059,1.627828672,1.139700903,1.531004894,4.267259784,5.592176822,5.194958259,0.739572704,0.753459096,0.996789873,0.642790139,0.770635366,0.86914438,0.256625593,0.580997467,0.000120236,0.881286383,0.884663284,0.732332647,0.952809036,0.317737818,0.445435256,0.842649341,0.99758637,0.09657,0.546483159,0.946689367,0.986252487,0.054599125,0.467177272,0.787769973,0.707166731,0.077356018,0.173180267,0.999352276,0.639975071,0.957674503,0.999576986,0.9969818,"[(24,)]","[(17, 16, 15, 14, 29, 27, 28), (2, 3, 1, 0)]",['-'],['-'],"[(5, 4), (0, 1, 2, 3, 4), (5, 4), (5,), (20, 19, 18, 17), (0, 1, 2), (0, 1, 2)]","[(0, 1, 2, 3, 4), (0, 1, 2, 3, 4), (24, 25), (0,)]","[(4, 2, 3, 1, 0), (4, 5, 6, 7, 8, 30, 31), (0, 1, 2), (1, 0)]","[(5, 4)]",1,0.528,0.354,0.978,0.004,0.112,0.447
C#Cc1cccc(Nc2c(C#N)cnc3cc(OCC)c(NC(=O)/C=C/CN(C)C)cc23)c1,439.2,468.2365295,0.937987475,7,2,90.28,9,3,10,7,0,21,0.428571429,0,0,0.402,2.882,0.192,19,-1.554,"[(21, 20, 16, 15, 14, 13, 12, 9, 8, 31, 30), (17, 16, 15, 14, 13, 31, 30, 20), (21, 20, 30, 31, 8, 9, 12, 13, 14, 15, 16), (25, 24, 22, 23, 21), (17, 16, 15, 14, 13, 12, 9, 8, 31, 30, 20), (7, 6, 5, 4, 3, 2, 32)]",['-'],['-'],['-'],0,0,1,0,-4.821507415,3.281635548,3.797034159,142.2214843,333.7306504,8.928231908,6.872255407,-5.626691043,-4.954274399,0.962694824,0.183880389,4.86E-07,0.003731668,0.000244319,0.004704058,0.997464627,0.999297976,0.999993801,0.00013111,1,7.29E-08,0.001922186,97.7569178,0.595031748,1.96807469,0.05283447,0.991428196,0.892748177,0.431856275,0.932024181,0.019832117,0.337134629,0.22733888,0.969475091,0.970200777,0.899811625,4.17E-10,0.999999881,0.091553248,4.152126344,0.856199379,1.360415185,3.896108312,5.125103531,4.695451602,0.903542817,0.627131701,0.915938377,0.766075253,0.809105933,0.982182324,0.783929169,0.567173362,4.81E-06,0.081509776,0.953119516,0.979880035,0.651640534,0.876045346,0.247093365,0.991596282,0.966168046,0.401925027,0.210770234,0.727336705,0.924125314,0.82197547,0.559266031,0.882087052,0.088180862,0.07793092,0.00198576,0.998303533,0.199881628,0.8640185,0.999967575,0.999865294,"[(13,), (27,)]","[(22, 23, 24, 25)]","[(2, 1, 0)]",['-'],"[(6, 7), (25, 24, 22, 23, 21), (6, 7), (20,), (26, 27, 28, 29), (25, 24, 22), (0, 1, 2), (15, 16, 17, 20, 21, 30, 31, 14)]","[(25, 24, 22, 23, 21), (25, 24, 22, 23, 21), (25,)]","[(21, 22, 23, 24, 25), (7, 6, 5, 4, 3, 2, 32), (24, 25, 26), (11, 10, 9)]","[(6, 7)]",0.803,0.023,0.961,0.949,0.002,0.786,0.146
