smiles,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,LM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,FAF-Drugs4 Rule,Genotoxic_Carcinogenicity_Mutagenicity,Aggregators,Fluc,Blue_fluorescence,Green_fluorescence,Reactive,Other_assay_interference,Promiscuous
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,464.1,423.9810461,1.094624404,10,7,181.62,2,4,18,11,0,24,0.083333333,5,1,0.334,4.532,0.381,105.828,1.558,"[(20, 22, 23, 24, 26, 19, 17, 18, 16), (4, 6, 10, 11, 12), (4, 6, 7, 9, 8)]",['-'],['-'],['-'],0,0,1,0,-2.203121312,1.122432512,0.061506237,194.7381125,281.3395378,5.127280709,6.572257778,-6.256509982,-5.290613314,0.999069631,7.04E-06,0.951245487,6.32E-06,5.10E-05,0.003179908,0.867565721,0.831825495,0.990619183,0.000665287,0.003023441,0.068180941,0.977897584,63.67286259,-0.002637395,35.80416942,0.195465565,0.002788862,5.18E-05,0.02560549,0.052943002,0.173453853,2.55E-05,2.69E-05,4.04E-05,0.984993458,0.001057331,1.15E-12,0.003293403,0.918079674,1.026783832,3.687098738,0.571196289,3.376874017,4.942268884,4.169329261,0.005511594,0.030135291,0.862735093,0.417778164,0.326589972,0.085104354,0.957689464,0.24786517,2.91E-05,0.271208704,0.778742731,0.702545583,0.005745516,0.868299067,0.674125671,0.972785532,0.99926585,0.235993654,0.127321988,0.213083059,2.98E-06,6.95E-06,2.01E-09,1.30E-06,1.36E-05,1.25E-10,8.81E-15,0.000219331,1.10E-09,2.60E-09,6.82E-07,0.000209239,"[(24,), (6, 10, 11, 12), (1,)]","[(23, 22, 20, 19, 26, 24, 25)]",['-'],['-'],"[(10,), (6, 4, 3, 5), (4, 6, 7, 9, 8), (4, 3, 6, 10, 12, 11)]","[(4, 6, 7, 9, 8), (4, 6, 7, 9, 8), (24, 25), (4,)]","[(4, 6, 7), (21, 20, 19, 26, 24, 23, 22)]","[(4, 6, 10, 11, 12)]",0.197,0.038,0.115,0.655,0.017,0.975,0.243
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.26,518.8513205,0.950676968,8,2,86.28,8,5,6,8,0,31,0.258064516,0,0,0.389,2.332,0.241,57.778,-1.798,"[(24, 23, 22, 4, 3, 2, 1)]",['-'],['-'],['-'],0,0,1,0,-3.044672732,2.821539803,2.593681588,137.2282855,272.2391786,7.790531439,7.50779684,-5.37856022,-4.862961939,7.35E-05,0.98730731,0.969892502,0.000139236,0.006528735,0.002236724,0.032797217,0.003851461,0.000690332,0.897423208,0.999862313,0.030725233,0.999551952,92.46780001,0.474565274,6.110428971,0.000267701,0.999705613,0.015536995,0.188885361,0.00030336,0.000207204,0.99962914,0.000827865,0.281793088,0.999996305,0.815107107,4.02E-11,0.787476838,0.301830769,2.740151941,0.912452619,1.24042851,3.696481727,4.291363023,4.117321077,0.994781911,0.779070795,0.994486988,0.535774469,0.639304876,0.944896102,0.618905783,0.454619437,1.52E-09,0.029057242,0.945134997,0.886997819,0.981145918,0.586845517,0.392269105,0.98698473,0.998902082,0.312707365,0.302387267,0.876605511,0.999508739,0.009756643,1.18E-05,0.006192465,0.400755674,1.37E-05,6.23E-05,0.961447775,0.151125371,0.006541595,0.548353493,0.087967411,"[(34,)]",['-'],['-'],['-'],"[(4, 5), (4, 5), (4,), (8, 6, 7, 5, 4), (1, 23, 24, 22, 4, 5, 3, 2)]",['-'],"[(5, 4, 3, 2, 1, 23, 22)]","[(4, 5)]",0.226,0.794,0.281,0.885,0.001,0.094,0.824
C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,394.18,385.8093977,1.021696211,6,4,115.06,2,4,17,7,0,22,0.090909091,8,1,0.546,4.681,0.714,82.667,2.096,"[(2, 3, 4, 5, 6)]",['-'],['-'],['-'],0,0,0,0,-3.387563856,1.563201499,1.136933564,232.4773445,319.0120441,7.512459231,2.765201275,-4.825924763,-4.702837738,0.985701561,0.019328466,0.325561017,0.007170379,0.064810991,0.069778442,0.728804767,0.904779613,0.98096782,0.013022494,0.92345041,0.348710567,0.591630816,83.14389555,0.297600983,17.54759521,1.18E-05,5.51E-06,2.72E-05,8.95E-07,4.28E-05,1.38E-05,4.92E-05,8.93E-06,0.003869555,0.554164886,0.000419036,4.85E-15,0.979789257,0.001106148,2.842625411,2.373973524,0.587611182,3.274563698,4.814176951,4.067486061,0.022717122,0.07632903,0.010772599,0.303690851,0.896656096,0.99430567,0.915350199,0.950952649,0.003031462,0.935183585,0.983448505,0.519290209,0.073033273,0.784462094,0.033463791,0.583445549,0.981656611,0.191827089,0.003168231,0.164179951,0.03095871,0.999919057,0.999713123,0.088176779,0.932079494,0.037896615,4.47E-05,0.122268617,0.009311882,0.000519023,0.006745315,0.025087409,"[(3, 4, 5, 6)]","[(26, 27), (4, 5, 3, 2)]",['-'],['-'],"[(15, 17, 18, 19), (7, 8, 1, 6, 4, 5), (2, 1, 3, 4, 6, 5), (2, 3, 4)]","[(2, 3, 4, 5, 6), (1, 26, 27), (2,), (14,), (26,)]","[(2, 3, 4), (19, 17, 15, 18)]","[(2, 3, 4, 5, 6)]",0.314,0.044,0.023,0,0.254,0.06,0.989
C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,306.22,326.6885643,0.93734533,3,1,46.53,0,4,17,3,0,21,0,7,1,0.696,4.333,0.947,73.081,2.16,"[(3, 4, 5)]",['-'],['-'],['-'],0,0,0,0,-4.173279964,3.107375929,2.717281995,205.2701395,278.6648263,7.738930246,4.967009225,-4.515814509,-4.692567922,0.12311428,0.667498946,0.077919014,0.001516998,0.909397237,0.240206838,0.812841579,0.469582766,0.118555151,0.032000262,0.988546968,0.086520828,0.985557497,94.68722749,0.015880893,5.913675078,0.000104496,0.999858499,0.007306924,0.997579157,0.002555371,0.764366806,7.77E-05,0.004087819,0.004389349,0.998911262,0.982358873,0.624185383,0.837028682,0.560465395,7.536262713,0.899904948,0.698625656,3.156893707,4.502013385,3.943210835,0.043029908,0.293207616,0.402706057,0.648402214,0.385570019,0.804740012,0.998210549,0.994706213,0.540742815,0.944501579,0.60430485,0.872845471,0.381960958,0.259350598,0.350098908,0.952316642,0.832902074,0.078689866,0.357955068,0.581256092,0.004479156,0.954908431,0.980136514,0.171582952,0.993939757,0.989818156,0.003044755,0.273584098,0.003685359,0.149992034,0.246282831,0.63487047,['-'],['-'],['-'],['-'],['-'],"[(21, 19, 18), (6, 4, 5, 3, 2)]",['-'],['-'],0.098,0.014,0.031,0,0.66,0.082,0.804
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,479.21,489.313293,0.979352098,9,1,111.01,11,3,6,9,0,21,0.523809524,1,0,0.329,2.899,0.308,64.235,-1.106,"[(5, 4, 2, 3, 1, 0), (30, 31, 32, 33)]",['-'],['-'],['-'],0,0,1,0,-4.095205787,3.393861541,3.843653767,135.5339372,314.1238604,9.41526159,7.818569936,-5.328905942,-4.792539991,0.007720565,0.999922514,0.995747745,0.001038432,0.959610078,0.999550379,0.997641186,0.000527849,0.00131565,0.124812797,0.999939799,0.008717646,0.999979258,98.32891624,0.045065421,1.65016389,0.611991882,0.999938011,0.999999166,0.981790543,0.999865174,3.22E-06,0.999969482,0.999997735,0.999965787,1,0.999999881,0.55526638,0.999999166,0.999997616,11.62468698,0.439112092,1.30506531,4.166486397,5.310834305,5.017916819,0.518528223,0.802214086,0.988420606,0.537210286,0.388406038,0.894033849,0.939567804,0.085245021,4.14E-05,0.011863804,0.905181468,0.883666277,0.110701628,0.86858356,0.39032644,0.219559014,0.999992728,0.015388206,0.443530411,0.789087653,0.934037864,1.16E-05,0.000197046,0.905580699,0.003153222,0.003375258,4.66E-06,0.854139984,1.05E-05,0.996182263,0.997919261,0.534806848,"[(30,), (16,)]",['-'],['-'],['-'],"[(2,), (5, 4, 2, 3, 1)]","[(5, 4, 2, 3, 1, 0), (5, 4, 2, 3, 1), (5,)]","[(5, 4, 2), (31,), (29, 28, 27, 26, 34, 30, 31)]","[(30, 31), (30, 31), (30, 31), (30, 31), (5, 4, 2, 3, 1), (30, 31)]",0.801,0.003,0.145,0.949,0.001,0.321,0.332
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,437.17,417.5157545,1.047074261,4,1,29.95,7,4,14,8,0,22,0.318181818,0,0,0.728,2.42,0.455,51.75,-1.282,"[(16, 17, 18)]",['-'],['-'],['-'],0,1,1,0,-4.609035165,3.818663334,4.349186662,123.7593051,315.6975427,8.807318201,7.670531555,-4.811471816,-5.436638203,0.000208994,0.998337388,0.999978185,1.38E-05,0.992374992,0.8855149,0.996742081,0.028283169,0.037431426,0.58047986,0.999996543,0.999851584,0.989380598,94.13891451,0.415086548,5.070427649,0.079261534,0.999999881,0.002202444,0.999998927,0.000153707,0.131162032,0.998628259,0.416227937,0.322166651,0.999787509,0.00294566,2.29E-09,0.002658018,0.99854207,8.908430511,0.553378626,1.826874701,3.806513919,5.814308982,4.907334513,0.981730819,0.922939777,0.94786191,0.150029317,0.603213489,0.700083077,0.998170257,0.058254946,0.001658728,0.096763499,0.998924673,0.780013561,0.988437712,0.557887316,0.571904898,0.982863903,0.953632772,0.121251784,0.925070941,0.963439047,0.033669911,0.155589536,0.001446416,0.062557496,0.121556275,0.001386045,6.89E-05,0.194145963,0.000600297,0.004200969,0.041485418,0.02889917,"[(21,)]",['-'],['-'],"[(9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 26, 27)]",['-'],"[(23, 22, 24), (21, 22, 23)]","[(10, 11, 12, 13, 14, 15, 16)]","[(11, 10)]",0.388,0,0.039,0.546,0.011,0.033,0.531
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,288.21,315.2618784,0.914192358,2,1,37.3,0,4,17,2,0,21,0,6,1,0.734,3.903,0.842,67.2,2.515,"[(8, 9, 10, 11, 12)]",['-'],['-'],['-'],0,1,0,0,-4.517123882,3.659599069,3.841436695,162.7791359,288.8242892,9.033982562,6.046175798,-4.452402336,-4.703804892,0.374125719,0.778142631,0.184898227,0.000935495,0.954110242,0.67318064,0.972462336,0.918846905,0.898574471,0.34038642,0.968477368,0.991025329,0.91433692,80.04636048,-0.511037989,14.06577499,6.28E-05,0.989603102,0.16101405,0.999958634,0.007888573,0.912095726,0.002131929,0.007465801,0.000294319,0.587835848,0.827170908,0.072757587,0.436688185,0.694272161,15.99559166,1.255076614,0.79409113,3.360551822,4.839302783,4.31705727,0.134375244,0.553815246,0.169861242,0.328934461,0.512173355,0.699140489,0.929964483,0.962502539,0.139474645,0.917099178,0.8371737,0.753168821,0.409282058,0.396956861,0.472846538,0.371137023,0.571649671,0.055311099,0.338283002,0.584175169,0.000783563,0.999842167,0.999930143,0.212943286,0.999768436,0.997739196,0.001602229,0.276825041,0.004351574,0.022422327,0.142082393,0.527253509,"[(9, 10, 11, 12)]","[(10, 11, 9, 8)]",['-'],['-'],"[(8, 9, 10, 11, 12), (8, 7, 14, 9, 10, 11), (8, 7, 9, 10, 12, 11)]","[(8, 9, 10, 11, 12), (20, 19, 18), (8,)]","[(8, 9, 10)]","[(8, 9, 10, 11, 12)]",0.378,0.001,0.021,0,0.637,0.072,0.846
O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,315.03,271.2030809,1.161601848,3,1,38.33,1,3,10,7,0,16,0.0625,1,0,0.733,3.566,0.357,68.421,0.067,"[(20, 1, 0)]",['-'],['-'],['-'],0,1,0,0,-4.432936508,3.334859928,3.319667901,149.5978564,316.4056251,9.218038718,4.038361686,-4.793619711,-4.704225232,0.999788105,0.504297912,0.017367711,0,0.001530826,0.0010885,0.990872995,2.19E-05,6.21E-07,0.999994755,0.999967456,9.85E-07,0.11331711,99.28863685,-0.042167789,0.263942937,0.994597554,0.999999881,0.999903679,0.999753773,0.711601138,0.9998312,0.339452863,0.000154223,0.006314218,0.999992371,0.202416092,1,1,0.956708193,1.614665946,1.411752906,1.761363894,4.201396087,6.04054183,5.408826379,0.05784177,0.42214036,0.910805523,0.496555388,0.743372917,0.785612881,0.964141667,0.817101777,0.035151817,0.922074318,0.833850861,0.901494265,0.620112538,0.76812768,0.183805704,0.917342484,0.884949982,0.050173227,0.026411967,0.858502984,0.035295304,0.113113165,0.009539483,0.833630919,0.10211461,0.030820213,0.735254467,0.947628677,0.409809858,0.986825407,0.999033928,0.950691581,"[(6,), (10,)]","[(5, 4, 3, 9, 8, 6, 7)]",['-'],"[(2, 1, 0, 20)]","[(3, 2), (3, 2), (3,), (20, 1, 0, 2, 3), (2, 1, 0, 20, 10, 9)]","[(17,), (10, 16, 17), (6, 7), (20, 1, 0, 2)]","[(10, 11, 12, 13), (10, 11, 12, 13), (10, 11, 12, 13), (2, 3, 4, 5, 6, 8, 9)]","[(2, 1, 0, 20), (3, 2)]",0.658,0.001,0.098,0.348,0.03,0.368,0.042
CC[C@H](C)[C@H](N)C1=N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1,1421.75,1409.234055,1.008881381,33,20,530.87,35,4,25,34,0,55,0.636363636,15,1,0.04,7.512,0.636,145.833,0.503,"[(7, 6, 99), (99, 98, 8, 9, 10)]",['-'],['-'],['-'],1,0,1,1,-2.491410875,1.389469915,0.755709384,173.7106369,277.7218188,5.043889252,6.716769979,-6.285287298,-5.247242244,0.999907732,0.999950528,0.489966333,0.999999822,0.999999665,1,1,1,1,0.000308932,0.999985337,3.36E-15,0.127942964,35.11087174,-0.550758561,74.96339528,7.93E-32,4.87E-23,7.65E-20,0.823631227,3.02E-32,5.24E-16,4.31E-21,1.23E-16,0.003283117,4.60E-14,6.25E-08,0,1.26E-22,2.01E-10,0.980076987,2.350355509,-0.032866784,2.900813126,4.468193652,3.655219355,5.30E-05,0.000124106,0.896239758,0.002673425,0.229055449,0.33109951,0.980752289,0.000761528,8.09E-21,4.06E-08,0.036171898,0.655920327,0.913989961,0.995873392,0.322294861,0.956753492,1,0.089221336,6.76E-07,0.00022723,1.33E-12,1.28E-07,3.40E-06,7.75E-05,6.13E-07,5.78E-09,5.32E-06,0.995060861,0.000863588,2.08E-06,1.28E-06,0.94805181,,,,,,,,,,,,,,,
O=C(O)c1cccnc1,123.03,121.8072901,1.010038069,3,1,50.19,1,1,6,3,0,7,0.142857143,0,0,0.6,1.585,0,5,-0.711,['-'],['-'],['-'],['-'],0,0,0,1,-0.894975458,0.332754862,0.276530927,262.3116693,267.6948069,3.438894668,2.340234794,-5.132540436,-4.791078589,0.990988791,0.002261439,0.04419513,0.018812478,0.038018644,0.023723841,0.037559509,0.555759788,0.72743696,0.005809071,0.043345332,0.021347808,0.991373718,23.65012299,-0.523509602,72.54053185,0.000174017,0.002893318,6.70E-05,1.28E-05,0.015173059,0.960455537,4.27E-06,0.004721248,0.000137956,7.74E-06,6.49E-06,0.000236147,0.313489169,0.003245091,1.659261547,1.648227155,0.399529222,2.587137611,3.529882539,3.176252973,0.066452287,0.094385959,0.692767799,0.202095002,0.300909698,0.079004191,0.57720536,0.412125707,0.573224127,0.997171462,0.635181665,0.491863906,0.540760696,0.306060702,0.306729764,0.456492275,0.096817821,0.022164479,0.008197073,0.01300234,0.00051603,0.000546979,2.76E-07,2.45E-05,0.002222289,6.27E-06,4.10E-05,0.009511474,7.13E-07,0.000143587,8.60E-05,2.54E-06,"[(7,)]",['-'],['-'],['-'],['-'],['-'],['-'],['-'],0.002,0,0.007,0.038,0.92,0.917,0.156
