smiles,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,LM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,FAF-Drugs4 Rule,Genotoxic_Carcinogenicity_Mutagenicity,Aggregators,Fluc,Blue_fluorescence,Green_fluorescence,Reactive,Other_assay_interference,Promiscuous
Cc1cccc(C)c1N(CC(=O)Nc1ccc(-c2ncon2)cc1)C(=O)C1CCS(=O)(=O)CC1,482.16,469.5168807,1.026927933,9,1,122.47,8,4,6,10,0,27,0.296296296,0,0,0.573,2.817,0.333,57.812,-1.831,"[(29, 30, 31)]",['-'],['-'],['-'],0,0,1,0,-4.07286301,2.699940673,2.381689563,141.6998315,294.5774174,7.661491932,5.281421122,-5.412371464,-4.737676148,0.561777234,0.35920772,0.00212508,5.79E-05,0.000154853,0.000724852,0.768499076,0.001695071,0.176848903,7.21E-07,0.999866962,0.993710399,0.95494616,93.80781059,-0.232167443,5.114324625,5.27E-07,0.054275531,0.088233076,0.847787499,0.001771939,3.50E-06,5.13E-05,3.17E-09,0.627549767,0.999875069,0.46335721,6.94E-06,0.9948048,0.839743257,3.027401843,0.95181726,0.460530385,3.078096909,4.303001514,3.778402619,0.231282532,0.3747136,0.966744781,0.247118577,0.294727892,0.743483126,0.084796481,0.102438748,6.27E-06,0.027904687,0.796309471,0.540329874,0.169690385,0.316984445,0.355235666,0.179824382,0.993234098,0.014484406,0.03823033,0.248090044,0.195800737,0.614389181,0.034439918,0.205832586,0.620485306,0.007303258,0.508862972,0.895738661,0.48009634,0.006295624,0.503577232,0.25042659,"[(8,)]",['-'],['-'],['-'],"[(13, 12), (13, 12), (13,), (9, 10, 11, 12, 13), (26, 24, 25, 8, 9, 10)]",['-'],"[(8, 7, 5, 4, 3, 2, 1)]","[(13, 12)]",0.096,0.047,0.015,0.66,0.002,0.102,0.002
O=C1CC[C@H](NC(=O)Cc2ccccc2)C(=O)N1,246.1,248.8367973,0.989001637,5,2,75.27,4,2,6,5,0,15,0.266666667,1,0,0.745,2.371,0.308,36.882,-0.494,['-'],['-'],['-'],['-'],0,0,0,0,-2.03820084,0.822571313,0.664127917,171.1847964,322.9646212,9.329811632,3.690865109,-5.262137424,-4.214827531,0.444977105,0.209331408,0.093324199,0.001502275,0.027600229,0.052938879,0.381393611,0.304444075,0.953850448,0.000665243,0.554128051,0.333823085,0.244425908,39.95051718,-0.229584257,56.58877826,9.37E-08,0.000998998,0.034125455,0.740264535,3.50E-06,0.000178983,3.75E-05,1.73E-05,0.000987991,0.004291329,1.78E-06,1.30E-06,2.22E-06,0.081113629,5.06458652,1.081036915,0.054652168,2.384329845,3.89431702,2.68465911,0.075156532,0.156031922,0.556437671,0.507284164,0.399659604,0.129371405,0.856872499,0.275942028,0.000493183,0.718562603,0.251712888,0.209651589,0.760078251,0.128543869,0.192081332,0.512275636,0.997166812,0.025606049,0.016001351,0.073721744,0.000488402,0.002977523,0.006149014,0.000947235,0.034270842,0.017758526,0.004237442,0.351740122,0.000598864,0.027607227,0.000247064,0.076347537,['-'],['-'],['-'],['-'],"[(2, 1, 0, 17, 15, 16), (8, 6, 7, 5, 4, 15)]",['-'],['-'],['-'],0.023,0.006,0.034,0.487,0.004,0.148,0.636
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,465.19,473.1171328,0.983244883,9,3,118.51,6,5,9,9,0,30,0.2,1,0,0.447,3.349,0.192,87.968,-0.951,['-'],"[(3, 2, 1)]",['-'],['-'],0,0,1,0,-5.135451561,3.255308867,3.412268983,203.5591903,340.5804417,9.990720724,4.995914386,-4.892038442,-4.717532151,0.997546256,0.318328649,0.165307701,0.010111272,0.598937392,0.938139752,0.99990541,0.99489814,0.994609714,0.288853019,0.986818314,8.18E-07,0.86703831,92.22858131,-0.239775743,6.409252988,0.095355965,1.36E-05,0.999483943,5.41E-05,0.027628137,0.00039428,0.014185083,0.002695268,0.07426098,0.064879425,0.034957096,4.60E-12,0.999949813,0.127292484,2.556294791,1.216481218,1.068354629,3.798748168,5.207381412,4.758145031,0.596930385,0.457258791,0.999110639,0.665751994,0.801457703,0.993796706,0.135414928,0.847125113,2.78E-08,0.092817441,0.993321002,0.880001843,0.9391765,0.782362342,0.112797268,0.559703529,0.99985373,0.204254851,0.038643416,0.874629915,0.527317643,0.04345217,0.003031194,0.017743338,0.215025291,1.71E-05,0.003747747,0.9535712,0.244206145,0.000411438,0.927318156,0.911413312,"[(25,)]",['-'],['-'],['-'],"[(20, 19), (20, 19), (20,), (1, 2, 3), (16, 17, 18, 19, 20)]","[(1,)]","[(0, 1, 2, 3), (0, 1, 2, 3), (0, 1, 2, 3), (33, 34, 10, 11, 12, 28), (1, 2, 3), (2, 3, 5, 4)]","[(29, 30), (29, 30), (29, 30), (29,), (20, 19)]",0.249,0.365,0.765,0.932,0.003,0.127,0.164
Cc1cc(O[C@@H](CCC(F)(F)F)c2ccc(C(=O)NCCC(=O)O)cc2)cc(C)c1-c1ccc(C(C)(C)C)cc1,555.26,571.7179061,0.97121324,5,2,75.63,13,3,6,8,0,20,0.65,1,0,0.266,3.072,0.375,52,-0.519,"[(4, 3, 2, 1, 29, 27, 26)]",['-'],['-'],['-'],1,0,1,1,-5.674498893,4.125053094,6.340352911,155.6255759,362.8496318,8.612496293,3.607351542,-4.921335691,-5.119689639,0.967245638,0.244831815,0.139092669,7.30E-05,0.031424582,0.290985227,0.943341624,0.997883379,0.978947937,0.005711762,0.989206672,4.20E-06,0.971151352,99.2461599,0.104650827,0.316076139,0.043466799,1.04E-06,0.011237257,0.001417357,0.135487333,1.01E-05,6.76E-11,2.03E-09,6.71E-05,0.994784296,0.002414766,1.77E-15,0.999979258,0.000455523,4.243541282,1.195493905,1.983350372,4.611758165,6.515563744,5.803000808,0.717283666,0.49983722,0.958151877,0.075962476,0.280770183,0.790964127,0.00435691,0.393108398,7.35E-08,0.062632464,0.431481332,0.79799962,0.65174365,0.97165525,0.614810109,0.975070655,0.69809109,0.070708014,0.445737183,0.471230507,0.005312465,1.32E-05,4.28E-07,0.000961284,0.049525369,0.000279345,0.00148761,0.207473412,2.33E-05,0.000212594,0.041153003,0.008834101,"[(34,), (8, 9), (34,), (7,)]",['-'],['-'],['-'],"[(12, 5, 4, 3)]","[(7, 8, 9)]",['-'],['-'],1,0.981,0.017,0.946,0.001,0.588,0.233
CN(C(=O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,776.85,457.3554988,1.698569279,11,7,179.66,13,1,6,14,0,9,1.444444444,2,0,0.142,3.908,0.471,30,-0.334,"[(7, 8)]","[(8, 19, 30)]",['-'],['-'],1,0,1,1,-0.396743949,-1.294610688,-2.074565098,192.6625648,310.2238361,5.947983217,4.539909491,-4.953107433,-4.802537267,0.996977806,4.05E-05,0.867602766,0.998248306,0.69096449,0.688859016,0.987591505,0.042095762,0.163827106,0.00196556,0.00256016,0.001305081,0.647113442,4.021093795,-0.358029619,109.7055615,2.45E-08,7.08E-10,2.45E-06,8.05E-10,0.013401547,0.006636641,1.19E-09,5.40E-06,1.06E-05,0.12230625,0.001043777,1.69E-24,0.389426947,0.624662459,1.218677538,2.067954443,0.380139159,3.656025593,5.471445788,4.767424126,0.154359385,0.896231353,8.67E-08,0.010967653,6.49E-05,0.001039413,0.99999547,0.916603208,1.43E-15,2.48E-05,0.037977666,0.335934907,0.000461458,0.999996066,0.012303551,0.999847531,0.999492526,0.021771496,0.164279625,0.112601906,0.037768189,0.516319215,0.007767288,0.001352907,0.023631915,0.000495614,3.81E-07,0.000975236,0.003651697,4.47E-05,5.54E-06,0.001801969,"[(7,), (1,)]",['-'],"[(1, 6, 7, 8, 9, 10, 18, 19, 20, 21, 29)]",['-'],"[(4, 2, 3, 1, 6)]","[(7, 8)]","[(1, 6, 7, 9, 18, 20, 29)]",['-'],0.017,0.001,0.001,0.021,0.041,0.683,0.047
NC(=O)[C@@H]1CC[C@H](c2ccc(OCc3ccccc3F)cc2)N1,314.14,321.4011376,0.977407866,4,3,64.35,5,3,6,5,0,18,0.277777778,2,0,0.892,2.917,0.278,53.565,-0.682,"[(11, 10, 9, 8, 7, 21, 20)]",['-'],['-'],['-'],0,0,0,0,-3.291817349,1.856142899,1.960995785,155.8615361,313.8499744,9.230171498,6.014971365,-5.546972512,-4.796184092,0.390539676,0.005302856,0.034031849,1.78E-05,0.01015389,0.036790729,0.003510952,0.041638676,0.12969397,0.000891927,0.264588803,0.023780061,0.651850104,95.62359763,0.569931192,4.112693901,0.000399933,0.230738372,0.020793507,0.090322457,0.010169404,0.144036561,5.24E-05,0.107459307,0.010530731,0.021888597,0.402860731,6.85E-09,0.443206578,0.196978405,7.644809984,1.159054982,1.136543417,3.67388815,4.950486473,4.574170682,0.592792034,0.569114149,0.455193758,0.820222378,0.540589929,0.619653523,0.066118129,0.608364046,0.000300238,0.238926694,0.744599938,0.708928585,0.907904267,0.667132139,0.176570222,0.517671525,0.994753599,0.065853015,0.07975506,0.43452847,0.271065295,0.254031152,0.643286228,0.199514806,0.73399967,0.112575449,0.056715246,0.367882371,0.042305529,0.066261955,0.652551055,0.712697864,"[(18,)]","[(13, 14, 15, 16, 17, 18, 19)]",['-'],['-'],"[(13, 12, 11, 10)]","[(18, 19)]",['-'],['-'],0.446,0.434,0.062,0.155,0.002,0.003,0.06
NC(=O)c1cnc2[nH]ccc2c1N[C@@H]1[C@@H]2CC3C[C@H]1C[C@](O)(C3)C2,326.17,325.4870998,1.002098087,6,5,104.03,3,6,9,6,0,23,0.130434783,5,0,0.692,5.124,0.556,100.286,-0.263,['-'],['-'],['-'],['-'],0,0,0,0,-3.010831992,1.670527829,1.196787777,201.0724416,341.7923239,9.203734288,5.184384087,-5.222388234,-5.10835756,0.469439089,0.000548547,0.867343664,8.29E-05,0.00726825,0.026893854,0.180850327,0.178450182,0.638020098,0.007412544,0.009474403,0.660325706,0.810078919,35.87801073,0.358958369,62.16007706,0.043379858,0.017437501,0.005793953,4.57E-06,0.006840855,0.000384315,0.001569719,2.82E-06,0.008164705,0.000241319,0.99266386,7.65E-12,0.94762063,0.010654466,8.709382035,1.346852397,0.231995888,2.815821551,4.119129455,3.341412287,0.216695711,0.256691784,0.680006862,0.657725751,0.586686671,0.795204639,0.566197515,0.835190415,9.18E-08,0.179973155,0.837400615,0.822141469,0.836143315,0.687093377,0.616509914,0.882892251,0.956419051,0.183967248,0.829418123,0.528253317,0.434296727,0.019509181,0.032477684,0.181057155,0.321754128,0.023249818,0.028383056,0.698602676,0.13729836,0.019045964,0.784383953,0.825257123,"[(5,)]",['-'],['-'],['-'],"[(11, 12), (11, 12)]",['-'],"[(13, 14, 15, 16, 17, 18, 19, 20, 23, 22), (9, 10, 6, 7, 8)]","[(11, 12)]",0.056,0.379,0.895,0.019,0.005,0.323,0.12
C=C(N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)[C@H](CCC(=O)O)NC(C)=O,886.44,851.4346037,1.041113429,25,20,442.11,40,0,0,26,0,12,3.333333333,6,0,0.017,4.879,0.629,18,0.028,"[(14, 15, 16)]",['-'],['-'],['-'],1,0,1,1,-3.073428289,-2.129159491,-3.106012907,266.5725883,472.9440533,1.209212207,4.4107527,-5.798526958,-4.878631097,1,1.08E-05,0.999555647,0.999999535,0.999998792,0.999999976,0.999999922,0.124138489,0.999987006,2.38E-13,2.83E-06,2.07E-11,0.003712778,13.37511007,-0.612851053,68.57553534,7.23E-30,5.62E-19,2.42E-21,6.41E-08,1.03E-31,1.70E-11,3.20E-12,4.51E-08,1.02E-18,5.26E-11,2.72E-14,9.41E-38,6.29E-17,2.68E-06,2.789043674,1.062301439,-0.097834868,2.684933055,4.377417673,3.531745477,0.045791578,0.013505961,0.009566545,0.03807126,0.038459357,0.054773878,0.999991536,0.497940361,7.16E-18,2.88E-08,0.483028769,0.153126717,0.023184093,0.985289991,0.015324008,0.995781183,0.999990463,0.001351544,2.12E-08,0.000562331,8.38E-07,1.69E-05,0.027270354,1.58E-07,0.123399921,0.041142546,3.17E-08,0.938648403,0.000784335,9.86E-05,2.09E-06,0.976725876,,,,,,,,,,,,,,,
C[n+]1cccc(C(N)=O)c1,137.07,142.6280384,0.961031236,3,2,46.97,1,1,6,3,1,7,0.142857143,0,0,0.526,2.541,0.143,6,-0.208,['-'],['-'],['-'],['-'],0,0,0,1,-0.633212298,-0.826947244,-0.863435998,168.8957089,296.5476461,10.42603848,2.769797968,-5.894501223,-5.113816005,0.8576895,0.00173362,0.46723789,0.065979719,0.411495268,0.813580617,0.785295188,0.377358794,0.39096722,0.010026952,0.001445019,0.103637211,0.672633529,4.734065681,0.008988456,92.74982552,2.30E-06,0.03497947,1.00E-11,4.14E-13,1.31E-14,6.62E-11,2.92E-07,6.59E-07,5.19E-11,5.34E-12,0.00019469,1.43E-10,8.51E-11,0.693719625,8.058276299,2.162465229,0.096204056,1.692696785,2.954124573,1.820836981,0.148293495,0.352560639,0.333321184,0.06976068,0.39984405,0.142445341,0.962999642,0.272539169,0.078329273,0.998929441,0.665868104,0.182855546,0.388199419,0.040793974,0.139771983,0.168281153,0.98169601,0.033347152,0.000799244,0.061383385,1.71E-05,2.37E-05,4.80E-07,4.55E-06,0.000154472,2.62E-06,3.07E-09,0.015290702,1.53E-07,1.33E-06,6.10E-05,1.20E-05,"[(1,)]",['-'],['-'],['-'],['-'],['-'],['-'],['-'],0.025,0,0.501,0.002,0.467,0.326,0.005
CCC[C@@H](Nc1c(Nc2cccc(C(=O)N(C)C)c2O)c(=O)c1=O)c1ccc(C)o1,411.18,416.6120431,0.986961387,8,3,111.88,9,3,6,8,0,18,0.5,1,0,0.385,3.195,0.318,42,-0.851,"[(7, 8, 9, 10, 11, 12, 18), (19, 18, 12, 11, 10, 9, 8), (19, 18, 8, 7, 9, 10, 11, 12)]",['-'],['-'],"[(5, 22, 23, 20, 21, 6)]",0,0,1,0,-3.540651362,2.419876038,2.580587169,151.0904447,284.3387219,6.94732223,5.675163644,-5.032735304,-4.693988221,0.986718118,0.234777927,0.020270461,0.473900914,0.725896209,0.996663372,0.999684299,0.999513507,0.999016047,0.001225601,0.997119069,0.000134472,0.956078649,95.15477905,0.027648808,4.220165827,0.989843726,0.011801153,0.997896433,0.016778998,0.998562515,3.50E-05,0.008868819,9.41E-07,0.744771063,0.855525136,0.963734806,1.64E-06,0.997475564,0.003279761,7.658662659,0.649635429,1.078363495,4.156968496,5.20837553,5.094415206,0.130253077,0.193288982,0.956332028,0.274074376,0.435569108,0.425836831,0.787265837,0.199303985,0.000540173,0.887823939,0.588250399,0.730900645,0.319207668,0.3652125,0.369378656,0.940712094,0.986173153,0.131613687,0.165703714,0.172766283,0.005137732,0.675664365,0.000380964,0.01383046,0.089423463,5.01E-06,0.000167086,0.011343176,0.009396593,0.000255917,0.01844674,0.011999531,"[(15,)]",['-'],['-'],['-'],"[(5, 4), (5, 4), (9, 8, 7, 18, 19, 12, 11, 10), (9, 8, 7, 18, 19, 12, 11, 10)]",['-'],"[(24, 25, 26, 27, 29), (7, 8, 9, 10, 11, 12, 18), (8, 7, 18, 19, 12, 11, 10, 9), (9, 10, 11, 12, 18, 19, 8, 7), (19, 18, 12, 11, 10, 9, 8)]","[(5, 4)]",0.263,0.246,0.606,0.494,0.002,0.956,0.044
