smiles,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,LM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,FAF-Drugs4 Rule,Genotoxic_Carcinogenicity_Mutagenicity,Aggregators,Fluc,Blue_fluorescence,Green_fluorescence,Reactive,Other_assay_interference,Promiscuous
O=C(O)CCc1nc2c(=O)[nH]c(=O)[nH]c2n(C[C@H](O)[C@H](O)[C@H](O)CO)c1=O,386.11,340.8676655,1.132726976,13,7,218.83,8,2,10,13,0,15,0.533333333,3,1,0.232,3.969,0.5,34,0.222,['-'],['-'],['-'],['-'],1,0,0,0,-2.367028571,-0.30767429,-2.221514222,267.0908292,414.8574371,2.870366191,2.334703808,-6.025678283,-5.275616586,0.999943495,1.75E-06,0.312125981,0.74569574,0.058717728,0.807121381,0.814998776,0.977484643,0.992702723,0.00594786,0.026960371,3.37E-06,0.522061408,28.13361748,-0.520434309,71.630357,5.52E-07,2.62E-05,2.12E-10,3.65E-08,2.98E-12,0.031375211,2.04E-09,2.20E-07,1.10E-07,1.81E-08,1.68E-11,1.63E-14,0.000156472,1.58E-05,2.366713615,2.096434759,-0.076027186,2.232539052,3.995278937,3.055232846,0.003356502,0.005317499,0.952416122,0.374853373,0.040062219,0.45113188,0.319684893,0.112827763,6.90E-07,0.123599745,0.307625562,0.777648866,0.919790208,0.924522758,0.443278015,0.901824296,0.999946713,0.022656593,0.009576367,0.023885449,0.000217773,2.32E-06,6.67E-07,6.89E-05,0.007562232,0.00016616,0.000122067,0.004780338,9.18E-06,0.001820548,0.369197756,0.000164199,['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],0.118,0,0.81,0.226,0.02,0.662,0.027
O=C(O)C(=O)Cc1ccccc1,164.05,168.8522531,0.971559437,3,1,54.37,3,1,6,3,0,8,0.375,0,0,0.675,1.624,0.111,6,0.168,['-'],"[(1, 0, 3, 4)]",['-'],['-'],0,0,0,1,-1.860048896,1.336747929,1.681010228,132.6559181,286.3264043,2.484452283,-0.70862032,-4.680495438,-4.475142664,0.71260941,0.007772068,0.00208856,0.009159327,0.200643718,0.479536057,0.672329128,0.761402428,0.99725157,0.000145818,0.793953359,0.147522226,0.770156682,62.64578054,-0.705094933,34.8691212,0.826826334,0.003470442,0.095676757,1.78E-05,0.112786889,0.44455874,4.16E-05,0.00108662,0.001927937,0.101874799,0.000330817,7.51E-05,0.11564485,0.107710198,0.998485426,1.819324892,0.279244302,2.924027858,3.931055626,3.301324863,0.046901155,0.168264464,0.296717405,0.196651518,0.324585021,0.107140213,0.81300211,0.157437205,0.878081799,0.985221088,0.84228462,0.335668653,0.217255577,0.179679722,0.294154584,0.234872431,0.340668917,0.008554799,0.004067278,0.027167391,0.001179911,0.000442006,0.000321731,0.001469036,0.026374847,0.000252077,0.003521345,0.949829459,3.68E-05,0.015699817,0.0597695,0.002004939,"[(1, 3, 4, 5)]",['-'],['-'],['-'],['-'],['-'],"[(1, 0, 3, 4), (1, 3, 4, 5)]",['-'],0.003,0.003,0.019,0.082,0.992,0.744,0.113
N[C@@H](CCC(=O)N[C@@H](CSCc1cccc2ccccc12)C(=O)NCC(=O)O)C(=O)O,447.15,435.1717682,1.027525296,9,6,158.82,14,2,10,10,0,15,0.933333333,2,0,0.322,3.081,0.333,30,-0.083,"[(9, 8, 7, 21, 22), (8, 9, 10)]",['-'],['-'],['-'],0,0,1,0,-2.083870689,1.477793269,0.927308415,161.9255815,268.8997368,3.267829716,4.846029351,-6.217781261,-5.117366661,0.981112242,8.97E-05,0.000177097,0.01052624,0.00706923,0.788751662,0.165075481,0.99994874,0.999996901,3.76E-05,0.658549964,0.000507376,0.039480586,71.99974001,-0.705589424,23.1082021,2.37E-12,6.06E-12,1.08E-05,1.30E-05,6.79E-08,0.984273791,4.33E-09,0.481206417,7.48E-14,2.01E-13,3.05E-09,1.34E-12,0.000215366,0.00853994,3.227416847,0.855465714,0.416929968,3.21484066,4.616557907,3.795038477,0.023784218,0.029592292,0.441503882,0.863647759,0.159964755,0.011886985,0.976180255,0.134892479,0.000127165,0.016678063,0.037150189,0.191855878,0.171391293,0.286382675,0.088869512,0.970655203,0.953518212,0.074115716,0.000760505,0.034889698,0.071796268,0.021301335,0.42087543,0.00117485,0.052908227,0.000658681,0.002544715,0.270898372,0.000308466,0.013309059,7.28E-05,0.066435978,['-'],['-'],['-'],['-'],"[(3, 4, 5, 6, 7, 21)]",['-'],['-'],"[(12, 13, 14, 15, 20, 11, 19, 18, 17, 16)]",0.342,0.006,0.265,0.265,0.025,0.924,0.058
C[C@@H](O)[C@@H](O)c1cnc2nc(N)[nH]c(=O)c2n1,237.09,215.2795972,1.101311983,8,5,138.01,2,2,10,8,0,12,0.166666667,2,0,0.509,3.742,0.333,26,0.788,['-'],['-'],['-'],['-'],0,0,0,0,-2.442064349,-0.152266297,-1.118928177,277.313375,347.3629085,8.00066461,3.369145624,-5.229575701,-4.989157532,0.993469596,3.47E-05,0.258573741,0.000622571,0.001167119,0.024875522,0.335512936,0.967371464,0.968513608,0.004273381,0.003210563,0.000901803,0.151593447,24.58686129,0.052933574,71.32912682,2.18E-05,9.76E-05,2.68E-07,0.000104521,3.79E-05,0.000102603,2.34E-06,2.50E-06,4.27E-06,0.001639419,1.31E-05,1.85E-12,0.005083186,0.270679235,3.980464793,2.429883213,0.053739987,2.282267816,3.999480241,2.974280566,0.029192531,0.125840917,0.866639555,0.705523491,0.237730429,0.159053341,0.009001085,0.576373041,5.33E-08,0.526759028,0.047278766,0.850724578,0.348670244,0.950181365,0.435401708,0.814592361,0.997510433,0.090245381,0.021124506,0.073291555,0.458208382,0.003998443,0.000709495,0.000427758,0.582085133,0.000306954,4.10E-05,0.014442503,0.001234962,6.77E-05,0.003298419,0.002945663,['-'],['-'],['-'],['-'],"[(10, 11), (10, 11)]",['-'],['-'],"[(10, 11), (10, 11), (10, 11), (10,), (10, 11)]",0.265,0.01,0.945,0.146,0.035,0.228,0.185
Nc1ncnc2ncn([C@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c12,347.06,281.6437441,1.232265964,12,6,186.07,4,3,9,13,0,16,0.25,4,1,0.39,4.042,0.5,70.667,1.348,['-'],['-'],['-'],['-'],1,0,0,0,-2.445758818,0.126565381,-1.914657861,236.9835606,384.1020669,4.256692644,4.017999349,-5.754746119,-5.238625673,0.992748439,0.004005966,1.16E-05,0.000149131,1.20E-05,0.00180006,0.01519388,0.994028449,0.998923123,0.005472769,0.962714374,9.40E-07,0.195197627,24.36825917,-0.009199112,65.64346239,1.91E-07,2.69E-18,2.00E-09,2.70E-14,0.000291573,0.363286942,0.000446736,2.73E-09,6.75E-10,2.66E-11,5.32E-09,4.90E-22,0.005138165,0.978662074,2.268720164,2.575107042,0.027957227,2.370475335,3.814023027,3.386965394,0.010955582,0.048441198,0.792330503,0.229320705,0.072141677,0.899686635,0.618220568,0.483895332,0.000183385,0.638508379,0.949603438,0.393463969,0.157218143,0.726111352,0.196000129,0.98864913,0.990876138,0.183928519,0.005957597,0.121904761,0.000298448,0.09722922,1.15E-05,0.000177991,0.115563802,0.010898421,5.78E-05,0.000189865,0.000415819,2.50E-06,6.21E-05,0.006345136,"[(9, 10, 11)]",['-'],['-'],['-'],"[(1, 0), (1, 0)]",['-'],"[(9, 8, 7, 6, 5, 22)]","[(1, 0), (1, 0), (1, 0), (1,), (1, 0)]",0.114,0.001,0.009,0.015,0.035,0.994,0.208
C=CCN(C)CCCCCCOc1ccc2c(-c3ccc(Br)cc3)nn(C)c2c1,455.16,437.9631839,1.039265438,4,0,30.29,11,3,9,5,0,17,0.647058824,0,0,0.26,2.463,0.375,17,-1.092,"[(11, 12, 28, 27, 25, 15, 14, 13), (20, 21)]",['-'],['-'],['-'],0,1,1,0,-5.284723645,4.185606308,5.88707822,123.2223756,384.7685567,11.15604418,7.019410623,-4.650564884,-4.597960199,0.01974212,0.973837733,0.001940928,1.31E-06,0.003093064,0.007994831,0.11841011,0.973185837,0.981611431,0.023282511,0.999992132,0.999275386,0.985152483,98.19786343,0.634361376,1.660913558,0.205354333,0.129949763,0.987437129,0.546056807,0.551829636,0.934870005,0.994217515,0.99999547,0.008097233,0.021072345,0.99988389,0.002347679,0.999997854,0.818671942,8.787655545,0.925147908,1.987973336,4.760869484,6.168185601,5.566553032,0.919540167,0.840187967,0.753867567,0.334175169,0.773466825,0.706605494,0.896184623,0.641188979,0.004777246,0.189424232,0.908629239,0.74802357,0.952662885,0.577033937,0.431423366,0.85557574,0.851657033,0.091271803,0.268822461,0.658183038,0.001548117,0.003680316,0.00079115,0.006879753,0.026938491,4.85E-05,4.70E-05,0.7651124,0.000449243,0.22708182,0.001654892,0.054089975,"[(3,)]","[(19, 18, 17, 23, 22, 20, 21)]",['-'],['-'],['-'],"[(20, 21)]","[(25, 27, 28, 12, 13, 14, 15), (0, 1, 2), (1, 0)]",['-'],0.662,0.092,0.126,0.983,0.001,0.014,0.016
N[C@@H](CCC(=O)N[C@@H](CS[C@H](O)N(O)c1ccc(Br)cc1)C(=O)NCC(=O)O)C(=O)O,522.04,427.678038,1.220637848,12,8,202.52,15,1,6,14,0,10,1.5,3,0,0.13,3.85,0.412,26,0.114,"[(9, 8, 7, 21, 22), (9, 10, 11), (12, 14, 15, 16, 17, 19, 20), (17, 18), (8, 9, 10)]","[(9, 10, 11)]",['-'],['-'],1,0,1,1,-1.909127144,0.968463227,-0.164160901,193.8904363,290.4371846,2.815456946,4.256321128,-6.12967532,-5.040217433,0.990179777,9.89E-05,0.000868481,0.009653032,0.087206066,0.620855242,0.722132981,0.999483585,0.999993205,5.01E-06,0.968246758,0.001894223,0.188531429,67.60038886,-0.430112706,24.66035786,7.27E-16,4.67E-17,1.11E-09,3.69E-10,8.74E-10,0.868933797,9.66E-11,0.003293936,1.70E-16,5.23E-16,2.34E-11,1.13E-21,4.82E-05,3.59E-07,2.221626947,1.218257087,0.147120581,2.820569305,4.191688296,3.364436048,0.005558002,0.018357579,0.369333416,0.80729264,0.286083281,0.017311634,0.998232603,0.113890857,0.000125372,0.018256743,0.014377166,0.177764148,0.145145342,0.520064831,0.100373328,0.977361619,0.997108161,0.104549222,0.00869575,0.034040909,0.061269879,0.064358279,0.391652584,0.000333841,0.171869814,0.002048619,0.002549435,0.15871878,0.003147303,0.076724492,4.12E-05,0.051004015,"[(12,)]","[(16, 15, 14, 20, 19, 17, 18)]","[(12,)]",['-'],"[(3, 4, 5, 6, 7, 21)]","[(17, 18)]","[(10, 12, 13), (12, 14, 15, 16, 17, 19, 20)]","[(13,), (13,), (14, 12), (14, 12)]",0.365,0.007,0.004,0.172,0.034,0.989,0.224
CC(C)[C@H](C=O)[C@H]1[C@H](NS(C)(=O)=O)CCN1C(=O)/C=C/CN1CCCCC1,399.22,398.8180975,1.001007734,7,1,86.79,9,2,6,8,0,16,0.5625,3,1,0.486,4.095,0.789,40.471,-0.357,"[(19, 18, 16, 17, 15), (9, 11, 12, 8), (3, 4, 5)]","[(3, 4, 5)]",['-'],['-'],0,0,0,0,-3.038441505,1.862628212,1.806452141,154.5596738,264.0324956,6.28422693,6.658323716,-5.636556639,-5.154428004,0.063999243,0.678414047,0.740308285,0.001408517,0.049891174,0.351846099,0.664024651,0.157212466,0.099718012,0.000301719,0.989896774,0.053791184,0.733695805,69.76533415,0.233967567,30.31923378,0.002120888,0.123154923,0.867284656,0.668022335,0.003798715,5.92E-06,0.075061999,0.041733816,0.053873505,0.020262701,0.984263241,2.56E-10,0.96482408,0.901454747,6.515891792,0.806230136,0.593566692,3.2860853,4.695432348,4.224617006,0.298574775,0.295297116,0.433236927,0.615081728,0.560068786,0.786409855,0.966731548,0.561773717,0.017149281,0.04280062,0.88510406,0.700244844,0.760394633,0.480436742,0.607901216,0.658296645,0.959687591,0.097103417,0.092222184,0.532056093,3.56E-08,0.000118618,1.26E-06,2.11E-06,0.024759019,1.89E-06,6.70E-07,0.050320264,1.58E-06,0.000394917,0.001886888,0.000111809,['-'],"[(16, 17, 18, 19)]","[(3, 4, 5)]",['-'],"[(4, 5, 3), (19, 18, 16, 17, 15), (3, 4, 5), (19, 18, 16)]","[(19, 18, 16, 17, 15), (19, 18, 16, 17, 15), (19,)]","[(3, 4, 5), (19, 18, 16), (18, 16, 15, 17)]","[(19, 18, 16, 17, 15)]",0.249,0.003,0.305,0.054,0.02,0.065,0.066
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NNC(=O)NNC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,584.3,591.5382164,0.987763738,13,6,175.99,22,2,6,13,0,17,1.294117647,2,0,0.208,3.225,0.414,34,-0.467,['-'],['-'],['-'],['-'],1,0,1,1,-3.356237671,2.825743528,2.654297944,108.4805567,273.3275837,6.874366406,6.333150742,-5.090883426,-3.742238476,0.955616176,0.992186069,1.45E-06,0.981613733,0.999783653,0.999999806,0.998673049,0.996113777,0.999988317,8.39E-08,0.9997136,1.94E-05,0.000377343,94.54064861,-0.614666543,6.593102893,1.50E-10,5.32E-17,0.000108794,1.03E-13,6.48E-10,9.51E-12,5.74E-12,1.38E-09,0.999782383,1.05E-13,0.007069232,4.19E-30,0.983831525,0.478126347,2.494988926,1.089314014,1.317543333,4.419757437,6.143357468,5.776424516,0.021197027,0.484430611,0.996209145,0.128624901,0.088556908,0.508272588,0.240165159,0.008202471,8.40E-07,0.605580866,0.471643299,0.745738626,0.853486657,0.551573634,0.056506008,0.611699164,0.999981523,0.013224209,0.011522804,0.024641825,0.00387255,0.005253125,8.74E-07,0.237662181,0.999589622,0.518279016,9.11E-05,0.99707377,0.933055878,0.367041379,0.058497187,0.934856951,['-'],"[(18, 19)]",['-'],['-'],"[(5, 6, 7, 8, 9, 10)]","[(18, 19), (8, 6, 7, 5)]","[(5, 6, 7, 8, 9), (16,), (19, 18, 16, 17, 4)]","[(18, 19), (5, 6, 7, 8)]",1,0.004,0.049,0.895,0.002,0.005,0.038
C=CCN/C(N)=N/CCC[C@H](N)C(=O)O,214.14,217.8784454,0.9828416,6,6,113.73,8,0,0,6,0,3,2.666666667,1,0,0.193,3.121,0.556,3,0.698,['-'],['-'],['-'],['-'],0,0,0,0,-1.071872347,-0.630554678,-1.98623726,199.8023484,303.5292935,5.552870885,7.394189702,-5.801457537,-4.874243859,0.989192426,0.000708523,0.984804869,0.001560152,0.104736269,0.010755658,0.226255298,0.503681421,0.821000934,0.003947943,0.001758007,0.000541194,0.272657335,30.48663432,-0.089779867,72.08774271,1.03E-05,0.001387693,0.044572946,0.139806882,0.110472485,0.488605052,0.99162066,0.999997258,1.94E-06,0.001998393,0.004730858,2.78E-06,0.017631417,0.001354785,6.475943297,1.026932591,0.113451156,2.675578214,4.126695673,3.186615091,0.402765334,0.658116877,0.786733568,0.624978364,0.285597533,0.128957808,0.988486528,0.086781576,2.11E-08,0.003004094,0.799783409,0.52442199,0.815882981,0.603689015,0.657669902,0.638242126,0.999973178,0.058910087,0.027364152,0.128015727,3.26E-05,1.45E-05,3.36E-05,1.86E-06,0.001607198,1.63E-05,3.85E-05,0.003277237,1.70E-09,1.68E-06,1.01E-05,6.65E-06,['-'],['-'],['-'],['-'],"[(5, 4, 6, 3, 2, 1)]",['-'],"[(4, 6), (0, 1, 2), (1, 0)]",['-'],0.229,0,0.004,0.058,0.014,0.435,0.526
N=C([S-])c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,679.09,557.3119893,1.218509584,20,9,299.02,11,5,9,23,0,29,0.379310345,10,1,0.035,5.43,0.476,126.581,0.903,"[(0, 1, 2)]","[(13, 15, 14, 17, 19, 18)]","[(30, 29, 31, 32, 33, 34, 28, 27, 26, 25)]",['-'],1,0,1,1,-2.486424508,0.078300692,-1.435531215,202.4758357,368.085217,3.710871066,4.567751357,-5.968899585,-5.312504207,0.999686122,7.43E-06,1.61E-14,0.048651695,8.93E-05,0.993545754,0.016871929,1,1,2.23E-09,0.931607962,3.02E-10,0.239226297,45.94640854,0.123697868,46.9484168,3.98E-12,6.42E-11,1.02E-13,2.25E-12,1.99E-09,8.97E-06,1.63E-10,1.30E-10,5.39E-08,1.06E-08,1.91E-08,3.21E-24,0.001115164,0.003777618,1.504716579,2.415786822,0.157166041,2.604352598,4.255606294,3.599948734,0.004213743,0.004403555,0.999993563,0.181693271,0.055968285,0.995023251,0.999999642,0.384491742,1.34E-08,0.165326238,0.973583996,0.760384917,0.065779194,0.059564617,0.020904755,0.903187513,1,0.164260551,6.25E-05,0.351703554,1.76E-05,0.000381225,2.17E-06,0.000141457,0.00292438,3.50E-06,5.46E-07,0.010389569,9.53E-07,2.23E-08,6.86E-05,0.007527455,,,,,,,,,,,,,,,
C#CCN[C@H]1CCc2ccccc21,171.1,196.8098296,0.869367147,1,1,12.03,2,2,9,1,0,11,0.181818182,1,0,0.67,2.767,0.333,30.375,-0.625,['-'],['-'],['-'],['-'],0,0,0,1,-2.045239579,2.130101157,2.555434615,28.35521183,230.3543103,10.70400671,7.993657847,-4.972438494,-4.478824306,0.23539792,0.014159188,0.135056421,1.07E-06,0.014711082,0.028524518,0.998630428,0.307719678,0.198356926,0.205880329,0.099967711,0.999627471,0.006787778,92.09723164,0.061057909,9.800456391,0.984678507,0.999411702,0.207981154,0.989568055,0.500905931,0.669579268,0.997841597,0.995910883,0.077911742,0.994453132,0.041283328,0.962344646,0.099001735,0.967396677,8.040393121,1.65211485,1.674394437,3.579621811,4.518298986,4.15378693,0.296419144,0.482848704,0.019385522,0.28454113,0.714763582,0.968246758,0.927150369,0.323711187,0.000293708,0.201094389,0.996730804,0.94341445,0.822675467,0.830929101,0.144647598,0.979370356,0.208545804,0.229978114,0.074556582,0.526248515,6.55E-05,0.010458832,0.000407143,2.42E-05,0.220576614,0.003309552,8.34E-05,0.075682074,3.69E-05,1.77E-05,0.000423035,0.000939801,['-'],['-'],"[(2, 1, 0)]",['-'],['-'],"[(3,)]","[(0, 1, 2)]",['-'],0.046,0.036,0.084,0.128,0.042,0.919,0.009
