smiles,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,LM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,FAF-Drugs4 Rule,Genotoxic_Carcinogenicity_Mutagenicity,Aggregators,Fluc,Blue_fluorescence,Green_fluorescence,Reactive,Other_assay_interference,Promiscuous
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSCC(=O)NCCc1c[nH]c2ccc(Br)cc12,1045.12,853.2197374,1.224913061,26,12,391.45,27,5,9,31,0,31,0.870967742,7,1,0.034,5.351,0.515,135.88,0.111,"[(47, 48, 49, 50), (60, 61), (46, 47, 48)]","[(5, 7, 6, 9, 11, 10)]","[(22, 21, 23, 24, 25, 26, 20, 19, 18, 17)]",['-'],1,0,1,1,-2.620723211,0.818114469,-1.306119289,223.731984,345.1227162,1.753373362,4.531178809,-5.959451944,-5.374903608,0.999652147,0.00026421,1.61E-06,3.58E-07,0,2.03E-06,0.00072211,0.999928117,0.999993682,6.96E-07,0.999987483,9.52E-09,0.070516549,61.05958095,-0.646106973,29.52642507,5.74E-10,1.46E-18,6.16E-06,2.80E-14,0.504077792,0.010855768,0.808295369,1.97E-06,2.30E-06,1.05E-07,2.56E-07,6.00E-33,0.999987006,0.999963641,1.022007286,1.565681297,0.32321494,3.108341164,5.01707785,4.194959243,0.009036125,0.009204194,0.997676075,0.02250256,0.019068744,0.999122798,0.999986529,0.566705644,1.09E-12,1.94E-05,0.99884218,0.005834327,0.192813233,0.310580283,0.006751426,0.999983191,1,0.067891657,4.28E-05,0.100135282,4.51E-06,0.000418407,7.62E-10,2.60E-07,0.011835619,3.68E-07,1.72E-09,3.95E-05,3.50E-07,3.81E-12,1.79E-07,3.41E-06,,,,,,,,,,,,,,,
CC(=O)Nc1ccc(C(=O)O)cc1NC(N)N,238.11,230.1352807,1.034652311,7,7,130.47,5,1,6,7,0,8,0.625,0,0,0.468,2.325,0.2,9,-0.814,"[(13, 12, 11, 7, 6, 5, 4)]","[(13, 14, 15)]",['-'],['-'],0,0,0,0,-1.839274218,-0.129230969,-1.081128761,220.7012737,329.9004412,6.730325001,5.825359755,-6.268898442,-5.319599954,0.999109328,1.54E-06,0.999861121,9.69E-05,2.15E-06,2.15E-06,0.000805557,0.069206342,0.198316693,1.64E-06,1.72E-05,0.014659438,0.988784909,13.09794273,-0.463434478,86.02142364,3.67E-15,1.49E-15,9.88E-13,0.000932079,1.34E-15,2.36E-12,2.64E-11,0.34904483,5.22E-17,1.83E-14,1.32E-11,1.29E-09,0.000132849,2.31E-07,2.133626657,1.260489495,0.056625975,2.482415592,3.9490558,3.22107492,0.283318162,0.08625067,0.22500284,0.368750691,0.633044779,0.394529164,0.74377948,0.0219147,0.0005787,0.087532513,0.860516012,0.93678844,0.863784194,0.957346201,0.876451075,0.818607688,0.999998689,0.018444084,0.002421919,0.004024205,0.272392273,0.003542702,2.16E-05,3.41E-05,0.08857245,1.03E-05,8.36E-06,0.04560877,1.21E-05,1.85E-05,0.007181413,1.32E-05,['-'],['-'],['-'],['-'],"[(4, 3), (13,), (4, 3), (4,), (5, 4, 3, 12, 13, 11, 7, 6), (0, 1, 2, 3, 4), (5, 4, 3, 12, 13, 11, 7, 6)]",['-'],"[(3, 4, 5, 6, 7, 11, 12)]","[(4, 3, 1, 2, 0), (4,), (4, 3)]",0.138,0.002,0.185,0.226,0.035,0.661,0.128
O=C(O)[C@H](O)C=C(O)O,134.02,116.4186167,1.151190452,5,4,97.99,2,0,0,5,0,2,1,1,1,0.377,3.847,0.25,3,1.052,['-'],['-'],['-'],['-'],0,0,0,1,0.271056453,-0.240308816,-0.569071228,129.6203574,246.2096398,3.683364857,4.171833661,-5.886412814,-4.878124566,0.998022676,1.42E-06,0.073553547,0.192572832,0.434563935,0.81901519,0.92861338,0.666432977,0.978631496,0.007499173,0.000110387,0.024495045,0.891502202,13.22051939,-0.537881367,92.12069892,6.28E-10,2.67E-11,1.25E-06,1.16E-08,0.991774619,0.999954939,9.18E-08,1.22E-08,3.62E-10,0.992986619,1.80E-09,1.71E-28,8.83E-05,0.001166438,2.473000703,2.037325486,0.303115619,2.377970701,3.44962726,3.19730841,0.006863885,0.012997299,0.765796125,0.310899854,0.65147084,0.156157151,0.920685947,0.378374904,0.653830051,0.990759492,0.887750208,0.667104721,0.081650734,0.578955591,0.363001347,0.732658207,0.815620422,0.041708749,0.032739021,0.008651233,0.000426698,0.000128036,7.83E-07,0.00029446,0.002130952,2.19E-05,0.000152943,0.404045105,1.18E-05,4.72E-06,0.009153598,0.000904343,['-'],['-'],['-'],['-'],['-'],"[(4, 3, 1)]",['-'],['-'],0.008,0,0.007,0.009,0.981,0.787,0.481
O=P(O)(O)O[C@H]1[C@H](O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1OP(=O)(O)O,579.9,387.5069471,1.4964893,21,11,354.03,10,1,6,26,0,11,0.909090909,4,1,0.113,4.283,1,72,0.605,['-'],"[(1, 2, 0, 10, 12, 11)]",['-'],['-'],1,0,1,1,1.443233455,-3.003590645,-4.687585248,216.6950124,560.5590934,2.282038572,2.405245541,-5.363450524,-4.763066631,0.999801576,1.71E-06,7.05E-07,0.01047492,1.37E-05,0.015189826,0.987233152,0.995195568,0.99994719,0.093256064,0.00020294,0.004728535,0.042600665,14.59208046,-1.219918998,41.39720942,5.41E-12,4.43E-32,1.71E-13,4.71E-10,9.59E-09,0.988430977,0.001449113,5.37E-21,5.91E-22,2.26E-23,1.13E-12,4.04E-30,3.08E-07,0.7651847,1.10779494,2.216643322,-0.582459445,1.923229344,2.991560447,3.584592254,5.79E-06,6.14E-05,0.572993577,6.74E-06,1.83E-05,0.999986649,0.998986542,0.988256276,0.999322295,0.99841249,0.999995947,0.329581022,0.000278494,0.074078649,0.000261205,1,0.999379873,0.025668453,6.60E-08,0.037930325,1.88E-08,0.999042094,2.06E-06,1.60E-09,0.999947429,0.999577105,4.43E-06,1.63E-08,0.001745344,9.59E-10,1.16E-08,1.90E-06,['-'],['-'],"[(1, 10)]",['-'],['-'],['-'],['-'],['-'],0.02,0,0.018,0,0.66,1,0.243
OCCS,78.01,70.44768082,1.107346602,1,1,20.23,1,0,0,2,0,0,0,0,0,0.42,3.024,1,0,0.496,"[(2, 3)]",['-'],['-'],['-'],0,0,0,1,0.493703381,0.128166226,0.069568057,-28.60060025,164.1047968,9.438017657,6.436228573,-4.988231232,-4.714768832,0.375078261,0.025320258,0.069580615,0.85494031,0.533495635,0.9265448,0.80349578,0.538823843,0.762287796,0.030253245,0.073753901,0.101338588,0.160244137,15.57475019,-0.059926305,87.25559738,0.003196354,0.00068142,4.17E-06,0.009453331,2.18E-06,0.523091912,0.001082007,0.453214884,0.00422434,0.001894342,0.569595158,9.71E-08,0.010743516,0.018597493,8.945645158,1.763259801,0.168968976,1.64351844,3.065520654,2.497688065,0.003040311,0.051589817,0.923615456,0.179807618,0.775856614,0.000244124,0.999311686,0.119445175,0.999986768,0.999951124,0.998745203,0.988144517,0.095711663,0.151558489,0.967301846,0.991519868,0.130972639,0.02630705,0.001980252,0.000446828,0.000584799,0.002797585,0.000653224,7.79E-05,0.183779135,0.000145486,4.20E-05,0.079429395,0.003216412,0.024025394,0.000166854,0.005830108,['-'],['-'],"[(2, 3)]",['-'],"[(3,)]",['-'],"[(2, 3)]",['-'],0.007,0.025,0.001,0,1,0.637,0.389
Oc1c(Cl)cc(-c2cc(Cl)c(O)c(Cl)c2)cc1Cl,321.91,261.6013361,1.230536529,2,2,40.46,1,2,6,6,0,12,0.083333333,0,0,0.739,2.036,0,14,-0.102,"[(0, 1, 2, 4, 5, 15, 16)]","[(2, 3, 1, 0, 16, 17, 15, 5, 4, 8, 9, 10, 11, 12, 13, 14, 6, 7)]",['-'],['-'],0,1,1,0,-4.096904726,3.131078652,5.332610269,147.7582278,389.87157,8.046848772,2.260930175,-5.019031613,-4.8040677,0.999998808,3.51E-05,7.27E-08,0.000758529,0.000683546,0.000309825,0.322132111,0.998923481,0.797041714,0.988712788,0.997926831,0.024288688,0.9267506,99.29929879,-0.511002381,0.34722482,0.998610854,0.392652303,0.028812375,0.001186239,0.801362336,0.00153273,0.191744223,0.014280288,0.00334656,0.206789181,0.258825213,8.55E-06,0.982702494,0.974189103,7.052699533,0.60338982,1.975502503,4.692552282,5.715264446,5.059806488,0.40630576,0.744480193,0.855605662,0.416674197,0.598109186,0.693625927,0.692251742,0.796162307,0.134337097,0.950400233,0.70991075,0.605242014,0.790939391,0.440861106,0.349444568,0.536624968,0.461075008,0.084092163,0.561505616,0.577228189,0.977075696,0.044197381,0.031671051,0.970479906,0.930250645,0.86026901,0.994133651,0.993434668,0.033140574,0.988076091,0.999926686,0.996248901,"[(2,)]",['-'],['-'],['-'],['-'],"[(2, 3)]","[(0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16), (0, 1, 2, 4, 5, 15, 16)]",['-'],0.946,0.132,0.169,0,0.998,0.975,0.605
CCOP(=O)(OCC)OCC,182.07,167.320532,1.088150975,4,0,44.76,6,0,0,5,0,1,6,0,0,0.59,2.595,1,0,0.051,['-'],['-'],['-'],['-'],0,0,0,1,0.51295087,0.445051968,0.628175678,-27.39585381,208.0653726,8.453889355,4.875562494,-4.404625952,-4.722144756,0.014693799,0.999758899,4.86E-15,4.53E-06,2.11E-05,0.162777901,2.97E-05,0.999999642,1,0.008899465,1,6.82E-05,0.999678731,14.97995022,-0.334847876,81.37464369,1.95E-06,3.08E-13,1,0.977533638,0.999999523,1,1.37E-10,1,0.000986714,2.45E-11,1,0.998687565,0.999999523,3.10E-10,9.786760139,1.369628388,0.3616057,2.305485332,4.478288938,3.026306981,0.041456774,0.275675118,0.765147984,0.133886874,0.575395525,0.593211055,0.991764009,0.298132598,0.979793966,0.998547614,0.901216686,0.023225889,0.008623053,0.00082933,0.295011938,0.935037851,0.984596431,0.001134962,0.088456206,0.00814584,0.007732512,0.000154096,5.10E-07,0.031467147,0.000177659,2.84E-08,3.53E-07,0.003285065,4.67E-09,4.54E-09,0.436095119,7.60E-09,['-'],['-'],['-'],"[(3, 4, 2, 5, 8), (1, 2, 3, 4, 5, 6, 8, 9)]",['-'],"[(3, 2, 1, 5, 6, 8, 9, 4)]","[(1, 2, 3, 4, 5, 6, 8, 9)]","[(1,)]",0.022,0.325,0.008,0.001,0.995,0.477,0.001
CC1=C[C@H]2Cc3[nH]c(=O)ccc3[C@]3(C1)NCCC[C@H]23,256.16,271.3042991,0.944179657,3,2,44.89,0,4,12,3,0,21,0,3,1,0.698,5.005,0.562,76.44,2.015,['-'],['-'],['-'],['-'],0,0,0,0,-2.61951106,1.429841389,1.293972807,192.0290743,308.0356421,9.605500406,4.980935525,-5.068652072,-4.857965323,0.369537443,0.004511206,0.994225442,0.001017511,0.44128865,0.718247533,0.940083042,0.244274721,0.077550262,0.019344028,0.495593756,0.7344836,0.912917793,45.97128806,0.25779398,49.53947226,0.009053578,0.848513842,0.008392262,0.955281079,0.000114337,5.34E-05,0.035347607,0.009851833,0.003372568,0.971392095,0.888049901,6.01E-06,0.034412906,0.137330562,9.875281791,2.184033142,1.64911673,3.772260025,4.954746922,4.618440397,0.084332906,0.34939751,0.470380187,0.594655633,0.682009161,0.562535584,0.256699055,0.535725474,0.017775819,0.800462782,0.789832711,0.619355917,0.74957943,0.430630177,0.461935699,0.421777517,0.90070343,0.069272779,0.105337329,0.202554077,0.084363595,0.135704443,0.015584342,0.070549525,0.355386794,0.041374493,0.022265239,0.142721325,0.589295685,0.15265213,0.023150317,0.435349733,"[(6,)]",['-'],['-'],['-'],['-'],['-'],['-'],['-'],0.177,0.005,0.206,0.107,0.003,0.141,0.142
Nc1ncnc2c1nc(Br)n2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,424.97,300.9273635,1.412201254,12,6,186.07,4,3,9,14,0,16,0.25,4,0,0.295,4.051,0.5,74.2,0.919,"[(8, 9)]",['-'],"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 10)]",['-'],1,0,1,0,-1.919750671,0.112473758,-1.748265227,224.5344671,366.6988778,2.921775247,3.647431021,-5.61662334,-5.204187909,0.887103438,0.006076604,1.12E-07,0.001130641,1.67E-06,0.00218451,0.000439823,0.999798596,0.999983072,6.34E-05,0.686993837,0.001561853,0.378576338,33.01328043,0.00645586,59.05367133,6.08E-07,1.16E-19,8.22E-09,1.35E-16,0.001444886,0.000529268,0.003838177,1.11E-08,6.84E-11,1.76E-12,3.98E-07,2.15E-27,0.086676903,0.965756714,2.245647371,2.417877782,0.090319149,2.552093687,4.048105512,3.448487726,0.014670609,0.062450878,0.981280506,0.321042031,0.095695831,0.991639078,0.871245086,0.876576722,0.001926353,0.816152036,0.971478522,0.375097483,0.617169738,0.517459095,0.109759904,0.96323806,0.999915242,0.153904542,0.008319272,0.242379576,0.001650941,0.725579321,0.004446635,0.002054392,0.501080513,0.185194284,0.003060401,0.003013063,0.019291678,0.000194275,0.002503739,0.061708421,"[(11, 12, 13)]",['-'],['-'],['-'],"[(1, 0), (1, 0)]","[(8, 9)]","[(11, 10, 8, 7, 6, 5)]","[(1, 0), (1, 0), (1, 0), (1,), (1, 0)]",0.05,0.001,0.05,0.011,0.097,0.988,0.073
N,17.03,19.55321955,0.870956313,1,3,35,0,0,0,1,0,0,0,0,0,0.398,6.668,0,0,0,['-'],['-'],['-'],['-'],0,0,0,1,1.285965983,-0.439147444,0.036374833,-53.90998816,52.2562416,13.27389045,9.780093591,-4.557959018,-4.674012057,0.39887622,0.225838974,0.446649581,0.287515223,0.308038712,0.345309436,0.46985209,0.569847882,0.707203925,0.380130738,0.313395798,0.644773841,0.595557749,8.828502989,0.13381485,92.89936327,0.796891868,0.508319378,0.432849437,0.478285968,0.118442774,0.347666591,0.360350102,0.519345641,0.118604876,0.484789521,0.331517696,0.519350827,0.284064114,0.276264429,8.04176342,2.833599063,0.301975635,2.217053574,3.209670071,2.112096211,0.08950676,0.461054683,0.164308608,0.670429766,0.528124809,0.237813696,0.82196939,0.631310344,0.984433055,0.990986288,0.833737373,0.474994719,0.713777542,0.238379657,0.368661076,0.280756801,0.380437404,0.044765953,0.031105489,0.080353856,0.459855825,0.474300414,0.326112062,0.373568714,0.425145984,0.320594966,0.30324015,0.435693294,0.371702462,0.300693125,0.393230855,0.368316054,['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],0,0.334,0.01,0,0.803,0.57,0.02
