smiles,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,LM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,FAF-Drugs4 Rule,Genotoxic_Carcinogenicity_Mutagenicity,Aggregators,Fluc,Blue_fluorescence,Green_fluorescence,Reactive,Other_assay_interference,Promiscuous
C[C@@H](O)[C@H](N)CO,105.08,106.3176143,0.988359273,3,4,66.48,2,0,0,3,0,0,0,2,0,0.408,3.488,1,2,1.665,['-'],['-'],['-'],['-'],0,0,0,1,1.191743265,-0.908247033,-0.805895539,34.08275765,193.6352815,10.05524128,8.941386957,-5.603238207,-4.577011126,0.916150689,0.001097756,0.59608078,0.027534187,0.116669953,0.081376612,0.298258066,0.26965633,0.502913654,0.011235901,0.012760245,0.059244111,0.494540006,7.910146536,-0.194239566,90.1365953,1.88E-05,1.59E-07,1.03E-07,0.106734909,1.55E-07,0.000354317,0.006372625,0.999965549,2.86E-07,3.13E-06,0.039711766,1.42E-13,0.022851596,0.005883107,7.710113953,2.045793655,0.060318158,1.629292902,2.886984872,1.966543168,0.016152577,0.082944296,0.050209634,0.287948191,0.068413228,0.004578552,0.995288849,0.221143261,0.533127248,0.897146821,0.250795811,0.436975569,0.074732319,0.771032393,0.408253998,0.368904561,0.022508476,0.040517487,0.017269948,0.014268595,6.44E-05,0.003000621,3.46E-05,1.50E-05,0.226098746,4.68E-06,5.85E-06,0.001129147,4.13E-07,4.12E-05,0.0023314,2.35E-06,['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],0.109,0.005,0.031,0,0.765,0.078,0.269
N=C(N)c1ccc2[nH]c(-c3cccc(-c4ccccc4)c3O)nc2c1,328.13,344.0265486,0.953792669,5,5,98.78,3,4,9,5,0,23,0.130434783,0,0,0.339,2.257,0,21,-0.441,"[(21, 20, 13, 12, 11, 10, 9)]",['-'],['-'],['-'],0,0,0,0,-3.496812401,2.583702765,3.203578517,229.1607949,374.5101589,10.53436541,7.418817714,-5.973012082,-5.268619327,0.948377311,0.000498476,0.856742144,0.053779066,0.054388881,0.488019526,0.96057108,0.880165935,0.996805429,0.004553029,0.055040359,0.014806511,0.543406904,92.49447061,1.014046507,7.617154131,0.36876446,0.708157301,3.80E-06,3.54E-09,2.81E-05,0.000620279,3.89E-07,0.002658365,4.03E-06,2.73E-06,0.068637684,8.39E-11,0.021702029,0.00018919,3.412969321,0.797613775,1.116582272,4.052956431,4.790908244,4.656036,0.572133422,0.811789334,0.685772836,0.228475302,0.577913404,0.871642411,0.837339699,0.612389505,2.85E-07,0.532684505,0.956480682,0.820675611,0.972834647,0.206324965,0.373251289,0.635523498,0.998588622,0.109599777,0.327883691,0.766555905,0.947146356,0.004501234,0.140631258,0.143982828,0.649971247,0.046846926,0.055218335,0.979428947,0.019137224,0.078956135,0.997933507,0.240651757,['-'],['-'],['-'],['-'],"[(9, 8, 7, 6, 5, 4, 3, 24, 23, 22)]",['-'],"[(4, 3, 24, 23, 22, 8, 9, 10, 11, 12, 13, 20, 7, 6, 5), (1, 0), (7, 6, 5, 4, 3, 24, 23), (21, 20, 13, 12, 11, 10, 9)]",['-'],0.971,0.999,0.969,0.832,0.019,0.168,0.894
Nc1ccccc1O,109.05,115.653522,0.942902543,2,3,46.25,0,1,6,2,0,6,0,0,0,0.385,1.69,0,5,0.497,"[(0, 1, 2, 3, 4, 5, 6), (7, 6, 5, 4, 3, 2, 1), (7, 6, 1, 0, 2, 3, 4, 5)]",['-'],['-'],['-'],0,0,0,1,-1.173652713,0.696451804,0.853676779,148.1333377,280.2678705,9.327613182,4.877483644,-4.55612143,-4.559865588,0.26382339,0.011852724,0.144675925,0.008518457,0.030852079,0.081563771,0.263518989,0.69187361,0.78961724,0.012366208,0.013433044,0.490820318,0.440826863,31.71313396,0.207374321,66.582167,0.870563567,0.00887445,0.179310217,0.005818266,0.194455102,0.227440208,0.02225844,0.371112198,0.052389707,0.033266272,0.664137304,0.000149176,0.063348658,0.33231163,10.08808725,2.451734399,0.788244433,3.260122994,4.911694521,3.367987754,0.02215605,0.437755674,0.191830948,0.777949095,0.445003211,0.221352965,0.950790107,0.66700238,0.887760878,0.998857498,0.978903294,0.248873293,0.923039436,0.224499509,0.299849749,0.330075562,0.993202388,0.061989695,0.023458637,0.280698866,0.983959258,0.004687519,0.005624552,0.059854615,0.111897111,0.137778208,0.006316903,0.982017338,0.061947286,0.753856122,0.946613967,0.309437126,['-'],['-'],['-'],['-'],"[(1, 0), (1, 0), (2, 1, 0, 6, 7, 5, 4, 3), (2, 1, 0, 6, 7, 5, 4, 3)]",['-'],"[(0, 1, 2, 3, 4, 5, 6), (1, 0, 6, 7, 5, 4, 3, 2), (2, 3, 4, 5, 6, 7, 1, 0), (7, 6, 5, 4, 3, 2, 1)]","[(1, 0), (1, 0), (1, 0), (1,), (1, 0)]",0.088,0.53,0.009,0,0.995,0.606,0.765
O=C(O)C[C@H](C(=O)O)[C@H](O)C(=O)O,192.03,165.9545821,1.15712382,7,4,132.13,5,0,0,7,0,3,1.666666667,2,0,0.421,3.053,0.5,5,1.222,['-'],"[(1, 0, 2, 5, 6, 7, 10, 11, 12)]",['-'],['-'],0,0,0,1,0.239090585,-0.759950082,-1.096880977,181.8980305,316.9643775,2.897451651,3.145686659,-5.75464137,-4.888335506,0.999919057,7.60E-09,2.92E-05,0.261882484,0.106402695,0.519741118,0.41889441,0.97712791,0.999828458,2.99E-05,0.000333009,0.012991524,0.874391913,21.28454863,-0.504598443,73.39178116,4.67E-10,6.33E-10,3.99E-08,5.71E-06,3.73E-07,0.998233318,1.11E-06,5.02E-05,5.22E-12,7.47E-12,1.35E-07,2.91E-14,0.001514465,0.00185567,2.577195145,2.257946334,0.131562292,2.351560469,3.482862762,3.436878938,0.004576131,0.002378537,0.850265265,0.10119503,0.212970763,0.060674403,0.573501468,0.047930233,0.931540608,0.996681869,0.401462615,0.748562932,0.117526211,0.58797133,0.219646558,0.746520102,0.846340418,0.010640201,0.000315139,0.000745256,3.20E-05,1.18E-07,1.69E-07,0.000170416,1.20E-05,4.17E-07,0.000212582,0.777516901,6.86E-06,1.48E-07,0.001476284,0.021147706,['-'],['-'],['-'],['-'],['-'],"[(9, 8, 4)]",['-'],['-'],0.105,0,0.028,0.001,0.844,0.95,0.407
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCC,691.52,744.3808245,0.928986854,9,3,134.38,39,0,0,10,0,3,13,2,0,0.037,3.549,0.946,6,0.603,['-'],"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)]",['-'],['-'],0,0,1,1,-2.491781709,3.185427651,3.786997491,101.5190704,273.2131007,6.927305258,8.307956844,-5.457530553,-4.910479909,6.38E-06,0.002303729,0.008431594,0.885567904,0.983412735,0.998999236,0.98148853,0.851101518,1,0.632873416,0.99810946,4.32E-06,0.999206722,99.81186135,1.514349856,1.004434425,0.984441936,1.71E-10,0.99998343,7.76E-05,0.997785091,0.000319037,0.985586345,1.37E-06,0.999902725,0.005212383,1,5.74E-12,0.999998569,6.10E-05,3.852708443,3.264936121,-0.927136809,4.243008175,6.851055222,-0.281034466,0.449294597,0.669674754,0.132523328,0.021069966,0.005806225,0.976956069,0.99999845,0.854633331,0.99685514,0.940571487,0.9919945,0.25722903,0.086624712,0.101353116,0.009427371,0.994147897,2.58E-07,0.080258541,0.672453046,0.427182049,2.92E-07,0.033645328,1.97E-05,0.007439738,0.319582611,0.000189632,0.000496412,0.000688578,1.27E-06,1.85E-06,0.009055358,2.57E-06,['-'],['-'],['-'],['-'],"[(27, 28)]",['-'],['-'],['-'],0.578,0.001,0.002,0.008,0.199,0.944,0.774
O=P(O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O,419.96,295.1110775,1.423057391,15,9,260.97,6,1,6,18,0,9,0.666666667,6,1,0.189,4.328,1,54,0.911,['-'],"[(1, 2, 0, 12, 14, 13)]",['-'],['-'],1,0,1,0,1.109033279,-1.896767684,-3.874611309,177.0979711,458.757197,2.434252677,3.951490919,-5.452959294,-4.863155757,0.997319758,0.00096712,1.83E-05,0.000439584,7.15E-07,0.000870764,0.601870328,0.994824052,0.999839664,0.060561255,0.07190904,7.57E-05,0.013134133,17.46757718,-1.192701177,52.22089342,8.34E-10,6.02E-18,5.89E-11,3.44E-10,0.001244322,0.219901338,0.197597817,1.17E-11,1.51E-11,1.66E-07,1.09E-10,9.41E-17,0.001499568,0.000631182,1.209976981,2.266488026,-0.234144668,2.102262741,3.285418681,3.594242529,0.000171444,0.002597563,0.279575139,0.000386713,0.000333204,0.994389832,0.990079641,0.79335469,0.973994792,0.994123995,0.998218715,0.290924549,0.000420193,0.189580888,0.004343541,0.999967337,0.89378655,0.026947435,4.99E-06,0.015609256,8.61E-06,0.90582943,0.000251366,1.71E-06,0.987766862,0.84467572,1.97E-05,1.35E-05,0.002531487,1.59E-07,8.93E-06,7.95E-05,['-'],['-'],"[(1, 12)]",['-'],['-'],['-'],['-'],['-'],0.101,0,0.023,0,0.656,1,0.175
CN(C)C[C@H](O)Cn1c2ccc(Br)cc2c2cc(Br)ccc21,423.98,330.451064,1.28303415,3,1,28.4,4,3,13,5,0,15,0.266666667,1,0,0.676,2.754,0.294,36,-0.865,"[(11, 12)]",['-'],['-'],['-'],0,1,1,0,-4.526847095,3.541385746,3.766113426,141.2256738,303.427374,9.671825669,7.574024963,-5.012265634,-4.765014097,0.102012992,0.782610834,0.054691304,0,2.62E-06,3.95E-05,0.00548023,0.103623852,0.006090223,0.081078805,0.999999762,0.999339521,0.207626149,94.9587894,0.958878517,4.435302327,0.16764009,1.38E-05,0.997825146,0.972682118,0.559099436,0.032002095,0.983264267,0.211271659,0.044831075,0.991891503,0.013976724,3.41E-10,0.993527472,0.053811915,9.705791928,1.563164498,2.314515047,4.423079501,6.070644909,5.507385526,0.725882113,0.753475726,0.836343765,0.595881283,0.811126113,0.990288973,0.998916864,0.795374215,0.007787618,0.068862714,0.967671514,0.739202142,0.990845978,0.791790247,0.478217155,0.970397592,0.954452336,0.178533345,0.903527737,0.680765212,0.000575682,0.07011164,7.85E-07,3.62E-05,0.01337581,6.63E-08,3.75E-11,2.00E-06,6.00E-05,2.42E-06,4.15E-05,0.000160946,"[(1,)]","[(10, 9, 8, 14, 13, 11, 12), (8,)]",['-'],['-'],"[(3, 1, 0, 2)]","[(11, 12)]","[(7, 8, 9, 10, 11, 13, 14), (14, 15, 21, 7, 8)]","[(8,), (8,), (8,)]",0.862,0.001,0.095,0.714,0.012,0.339,0.05
O=C1N(Cc2ccccc2)[C@H](COc2ccccc2)[C@H](O)[C@@H](O)[C@@H](COc2ccccc2)N1Cc1ccccc1,538.25,568.2123662,0.94726907,7,2,82.47,10,5,7,7,0,32,0.3125,4,0,0.305,3.42,0.242,83.073,-0.133,"[(12, 13, 14, 15, 16, 17, 18)]",['-'],['-'],['-'],0,0,1,1,-3.821656064,2.955590574,3.394502022,109.3192806,307.9327042,7.357195306,5.725106552,-4.903243964,-4.590621809,0.269728571,0.999873281,0.064150482,0.007120192,0.00404489,0.65172419,0.005353749,0.767636955,0.241889253,0.000305645,0.999792278,0.04108654,0.62167275,97.58966182,-0.225552445,1.775173261,0.000747763,0.000738582,0.999802411,0.999021649,0.996077478,0.000236131,0.038499132,2.28E-06,0.999298811,0.999947071,0.999999762,8.19E-09,0.515572608,0.072317131,5.960402858,0.589932024,1.574446557,4.084667713,5.2435575,4.834348419,0.666605115,0.91742903,0.858485639,0.545835257,0.036684092,0.46879372,0.91738975,0.537427962,3.08E-07,0.015766053,0.206629679,0.359505713,0.96246928,0.411762148,0.239609808,0.465437591,0.93797648,0.030598734,0.457778543,0.850414217,0.296295851,0.003927217,0.001240688,0.090613902,0.934272468,0.017696759,0.00046988,0.612166941,0.014268862,0.66568768,0.975354791,0.088655338,['-'],['-'],['-'],['-'],"[(2, 1, 0, 32, 33, 34)]",['-'],['-'],['-'],0.973,0.003,0.079,0.799,0.003,0.024,0
C[C@@H](OP(=O)(O)O)C(=O)O,170,130.3765713,1.303915253,6,3,104.06,3,0,0,7,0,2,1.5,1,0,0.496,3.184,0.667,5,0.419,['-'],['-'],['-'],['-'],0,0,0,1,0.054338687,-0.275334338,-0.687915146,142.6087263,265.8521793,2.936784349,3.258171276,-5.949229139,-5.109405123,0.987970114,0.0009721,5.21E-05,0.008134782,0.000399411,0.014529943,0.098505557,0.907674909,0.952116489,0.015916659,0.061739732,0.17131716,0.617632389,19.08090841,-0.743494133,81.33369075,2.90E-09,3.10E-17,2.43E-08,1.82E-10,5.24E-05,0.49871555,3.49E-05,1.92E-07,5.79E-12,1.64E-10,3.26E-06,6.94E-26,0.001005325,0.514766455,1.634583872,1.916487778,0.197472284,2.381510137,3.325432145,3.265902511,0.000988162,0.00736805,0.412341267,0.016185466,0.0118407,0.673425913,0.978052974,0.678302407,0.997386873,0.997509599,0.910839558,0.367008805,0.03124371,0.152234539,0.055326473,0.998002231,0.225276604,0.020135524,0.000121287,0.007107114,0.000121915,0.005299557,0.000157457,7.70E-05,0.007919323,2.23E-05,0.001124675,0.033026051,2.44E-06,3.09E-06,4.46E-05,3.35E-05,['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],0.004,0,0.045,0.001,0.944,0.985,0.115
O=C(O)C(=O)Nc1cc2ccccc2cc1C(=O)O,259.05,250.1475727,1.035588701,6,3,103.7,4,2,10,6,0,14,0.285714286,0,0,0.71,1.892,0,13,-0.558,"[(5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)]","[(1, 0, 3, 4)]",['-'],['-'],0,0,0,0,-2.702661335,1.866747362,2.244877232,216.6592971,322.5414556,2.307201245,-0.965020156,-5.064515582,-4.764874756,0.999570549,0.000150105,0.01737389,0.324820101,0.338230789,0.465878665,0.832517952,0.946006358,0.996244311,0.001467406,0.083233014,0.001766792,0.984905183,96.65593188,-0.912373643,3.556226193,2.29E-08,1.14E-05,3.09E-08,1.02E-08,0.000932582,0.050747406,4.22E-10,2.59E-09,1.40E-05,2.55E-05,4.42E-08,5.76E-10,0.006174008,0.000534455,1.041454247,1.595741495,0.23393302,2.792172045,3.800859005,3.41522838,0.045376349,0.010666773,0.985999644,0.255687147,0.218959019,0.141702607,0.238792405,0.088199459,0.000820914,0.940255702,0.341362238,0.593963921,0.225986794,0.759048223,0.53543973,0.914114237,0.865025461,0.013509952,0.001497311,0.005437975,0.625538409,0.337500691,0.011785576,0.010412441,0.32918787,0.001452193,0.019847697,0.722066164,0.005333584,0.13363868,0.18483533,0.244197667,['-'],['-'],['-'],['-'],"[(6, 5), (6, 5), (6,), (1, 3, 4, 5, 6)]",['-'],"[(1, 0, 3, 4), (5, 6, 7, 8, 13, 14, 15)]","[(6, 15, 14, 13, 8, 7, 9, 10, 11, 12)]",0.031,0.332,0.846,0.475,0.213,0.959,0.359
