smiles,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,LM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,FAF-Drugs4 Rule,Genotoxic_Carcinogenicity_Mutagenicity,Aggregators,Fluc,Blue_fluorescence,Green_fluorescence,Reactive,Other_assay_interference,Promiscuous
CCCCC(O)CO,118.1,129.9128242,0.909071146,2,2,40.46,4,0,0,2,0,0,0,1,1,0.565,2.475,1,1,1.608,['-'],['-'],['-'],['-'],0,0,0,1,-0.523939638,0.78927559,0.732276282,11.82323539,220.0946723,9.319903093,6.437107434,-4.873276724,-4.463310721,0.441672176,0.020120984,0.409436852,0.404529929,0.50622645,0.680235714,0.604564816,0.676810682,0.773955226,0.417561591,0.123912871,0.633557916,0.598686099,55.6847721,-0.053168343,45.72818773,0.015533458,0.000289158,0.000152352,0.026824195,0.000275798,0.859890103,0.003783034,0.005308271,0.002956054,0.008505892,0.025101962,0.000370581,0.035613451,0.034680996,8.950098629,1.322167562,0.21157732,1.815540393,2.936378214,2.181156685,0.088505991,0.424373686,0.042283673,0.1820907,0.075953208,0.050891254,0.661984324,0.262341082,0.967276394,0.996930897,0.271850795,0.472535431,0.077100985,0.567190409,0.200903401,0.186246336,0.000155778,0.028388733,0.155608103,0.049073469,0.000503942,0.464572132,0.000483518,8.60E-05,0.418267459,0.000455161,5.18E-05,0.005518656,1.70E-05,0.001715657,0.006617775,5.65E-06,['-'],['-'],['-'],['-'],['-'],"[(5, 4, 3)]",['-'],['-'],0.022,0.002,0.002,0,0.999,0.525,0.049
OC[C@H]1O[C@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,272.09,252.6175756,1.077082619,7,5,119.61,3,2,6,7,0,12,0.25,5,0,0.457,3.331,0.5,46.222,1.997,"[(10, 9, 8, 7, 6, 5, 12, 11), (5, 6, 7, 8, 9, 11, 12)]",['-'],['-'],['-'],0,0,0,0,-1.155152349,-0.105767604,-0.696496611,156.8535942,297.0316427,8.495317733,4.939876316,-6.492631862,-5.021452731,0.9975968,0.00020177,0.207636997,0.858024403,0.874356449,0.967879042,0.972835872,0.96942991,0.965821981,0.020193109,0.010918532,0.249492869,0.304570585,54.53738542,-0.33833754,43.55981156,5.12E-06,8.87E-05,1.50E-05,0.000235208,3.79E-06,0.002178765,0.000140622,0.011499517,0.010360967,0.019174308,0.315113366,7.71E-12,0.395474315,0.009302842,3.721645663,1.973469056,0.352312313,2.147686381,3.624002419,3.044753266,0.023174591,0.240565181,0.551545322,0.878172457,0.086820662,0.018251128,0.991575539,0.209265858,0.004132728,0.907804668,0.041232217,0.572962821,0.044388693,0.645480931,0.305967659,0.704878032,0.177750617,0.113704912,0.322196364,0.134699956,0.124946766,0.118499018,0.050252039,0.125712171,0.271637768,0.028145598,0.002069637,0.234630316,0.014156865,0.003071282,0.011863468,0.317437977,"[(2, 3, 4)]",['-'],['-'],['-'],"[(4,), (10, 9, 8, 7, 6, 5, 4, 12, 11), (7,)]","[(2,), (0, 1, 2)]","[(10, 9, 8, 7, 6, 12, 11)]",['-'],0.473,0.005,0.076,0.006,0.432,0.177,0.322
CC(O)CCO,90.07,95.32085375,0.944913904,2,2,40.46,2,0,0,2,0,0,0,1,0,0.491,2.931,1,1,1.644,['-'],['-'],['-'],['-'],0,0,0,1,0.772035437,-0.497261986,-0.358489316,-39.26686772,208.9132704,11.37112708,8.146920256,-5.083021405,-4.808225395,0.938060403,0.00059358,0.584318817,0.716696292,0.146855772,0.691130638,0.861927465,0.011903328,0.140373513,0.230458766,0.023676911,0.803036928,0.559743583,4.339728107,-0.048262913,96.29828109,0.006339564,0.032051794,0.00125699,0.099731199,0.002203073,0.948771954,0.003874434,0.05835221,0.005362296,0.206680402,0.000214681,8.41E-07,0.142169908,0.047452401,10.2320268,2.07693918,0.149319929,0.936692741,1.137528028,0.852939887,0.072550543,0.353911519,0.023220317,0.137224466,0.049515519,0.037385583,0.390682071,0.258086443,0.988551378,0.998309135,0.152747795,0.328792423,0.053272605,0.647867262,0.197516337,0.173860684,0.000218216,0.028296303,0.02651068,0.01526616,6.99E-05,0.00090486,2.65E-07,2.22E-05,0.05176311,2.31E-05,7.42E-07,0.000529883,4.34E-07,2.78E-05,0.000414171,2.87E-07,['-'],['-'],['-'],['-'],['-'],"[(2, 1, 0)]",['-'],['-'],0.001,0.016,0.002,0,0.998,0.399,0.049
CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](CO)[C@H](O)[C@H](O)CCCCCCCCCCCCCC,581.54,672.0966775,0.865262423,5,4,89.79,33,0,0,5,0,2,16.5,3,0,0.047,3.614,0.917,4,0.894,['-'],"[(20, 23, 25, 27, 28, 29, 30, 31, 32, 33)]",['-'],['-'],1,0,1,1,-5.641984052,4.934697711,9.065673649,46.20874034,396.2818309,8.884247606,4.918070247,-5.198304846,-4.812209319,2.32E-06,0.001536325,0.001992142,0.967369292,0.99935522,0.999962379,0.999253852,0.155203208,1,0.889408648,0.984844863,5.58E-05,0.980057955,98.77800468,1.039076145,0.622192924,0.999985814,8.97E-11,1,2.46E-06,0.002738444,0.999999762,0.706315219,0.999659181,0.715832651,3.80E-11,1,3.71E-09,1,0.003508451,4.184247293,1.97206831,0.383369436,5.026469534,6.432913577,4.134038369,0.627851248,0.697904646,0.001339574,0.037204705,0.02859975,0.160605684,0.99999392,0.042319935,0.549409926,0.956555247,0.862508476,0.193547666,0.001224733,0.301809132,0.008043716,0.367782652,6.40E-10,0.057435673,0.987239778,0.465750039,9.37E-05,0.135040879,0.00209584,0.025504595,0.663282812,0.018569259,0.045877419,0.905980229,0.001600222,0.334226251,0.270729423,0.031371277,['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],0.753,0.044,0.001,0.005,0.01,0.019,0.181
O=[Si]([O-])[O-],75.96,38792412.46,1.96E-06,3,0,63.19,0,0,0,4,-2,1,0,0,0,0.291,5.557,0,0,-0.262,['-'],"[(1, 0)]",['-'],['-'],0,0,0,1,-1.170657285,0.641404415,0.280919053,77.99084514,192.7909203,9.655891244,9.277241514,-4.529617251,-3.858442239,0.940941691,0.000359974,0.00061158,0.020340264,0.033905387,0.131649971,0.294427037,0.979815722,0.999064505,0.00171926,0.20873037,0.023977062,0.993069947,19.28748704,-0.043988623,71.74685694,3.31E-05,0.000434602,1.20E-07,0.113593198,1.11E-05,0.317474008,7.94E-08,4.83E-07,1.54E-06,0.010345479,2.30E-05,0.021057572,0.000142246,0.000593971,0.946946838,5.66280304,0.662706961,3.679649892,3.923824171,4.01810433,0.000228527,0.000406038,0.961476147,0.000367978,1.90E-05,0.002409532,1,0.999800265,1,1,0.780167401,0.999997616,0.171400934,0.987075984,0.000314335,0.000103655,1,2.55E-06,4.91E-18,1.86E-11,0.136964038,0.030670404,0.007753559,0.01080815,0.124610305,0.013971422,0.009569278,0.072607741,0.001365598,0.003025472,0.006672764,0.008835771,['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],0.014,0.347,0.001,0.089,1,0.453,0.12
CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@@H](N)CO,317.29,357.2516344,0.888141493,4,5,86.71,16,0,0,4,0,0,0,3,1,0.329,3.197,1,3,1.251,['-'],"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)]",['-'],['-'],0,0,1,0,-3.697850801,3.284456708,4.31941059,75.75300359,265.5557526,8.262680279,7.45401427,-5.120281285,-4.817565374,0.116160348,8.50E-06,0.149037078,0.177835226,0.527674526,0.935549736,0.922939621,0.809544146,0.999994278,0.387938201,0.029799456,0.004159812,0.337931424,97.64949738,0.722550928,3.126185846,0.003786884,1.25E-09,4.59E-05,0.369952261,2.57E-05,0.849539161,0.063367233,0.990877211,2.30E-05,0.000778115,0.951763749,1.39E-09,0.98611778,0.000149496,4.580678731,0.974517175,1.581390384,4.667385782,5.651558547,4.575383754,0.233182997,0.404366612,0.01136067,0.085912623,0.115248241,0.062664375,0.98865205,0.176354736,0.869936526,0.971230507,0.878964901,0.666101635,0.023825344,0.759674132,0.139952004,0.359086215,1.43E-05,0.037157029,0.188760415,0.034488417,0.000166788,0.06801109,0.001000088,0.000381247,0.652189672,0.000228218,0.000291538,0.004925186,9.34E-06,0.000112569,0.005847953,5.76E-05,['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],0.614,0,0.011,0,0.222,0.027,0.051
CC(c1ccccc1)c1ccc(O)cc1O,214.1,235.3490344,0.909712677,2,2,40.46,2,2,6,2,0,12,0.166666667,1,0,0.805,2.353,0.143,22,0.584,"[(12, 11, 10, 9, 8, 14, 13)]",['-'],['-'],['-'],0,1,0,0,-3.30140077,3.271216787,3.50960983,108.6556242,301.9304237,9.17594476,5.85248776,-4.881459872,-4.816087826,0.196786165,0.327020288,0.042688884,4.78E-05,0.016997397,0.446341574,0.818513781,0.834610105,0.987886071,0.650806367,0.314964354,0.915783823,0.825141311,98.57769652,0.215805722,1.22013374,0.965699673,0.82925272,0.919414163,0.578519166,0.912605107,0.804842472,0.490499467,0.775247276,0.88745296,0.127311647,0.945106685,0.182385445,0.939449966,0.92881,3.864065003,1.696991803,1.354999132,4.011639966,4.783201221,4.421085704,0.234740168,0.756666005,0.020971319,0.222203717,0.318677157,0.585614324,0.668577611,0.280396342,0.365285903,0.992329299,0.460028023,0.657228291,0.631071508,0.347388327,0.093661167,0.218455568,0.236564517,0.045009699,0.478893727,0.619370401,0.138750836,0.004739456,0.001161585,0.197560281,0.713866889,0.240367427,0.006937413,0.507615447,0.001293698,0.531091869,0.994993031,0.090724312,"[(11,)]",['-'],['-'],['-'],"[(12, 11, 13, 14, 15, 8, 9, 10), (11,), (8, 14, 15, 13, 11, 12, 10, 9)]",['-'],"[(12, 11, 10, 9, 8, 14, 13)]",['-'],0.246,0.039,0.018,0.06,0.981,0.672,0.323
C[C@H]1CC=CC(=O)O1,112.05,116.0834474,0.965253898,2,0,26.3,0,1,6,2,0,7,0,1,0,0.435,3.356,0.5,12.222,3.297,"[(3, 4, 5, 6, 7, 1), (7, 5, 6)]",['-'],['-'],['-'],0,0,0,1,-0.674831713,0.885028527,0.825944637,5.670500834,172.4221388,7.392068537,4.381937304,-4.628970887,-4.587216103,0.579925299,0.363323271,0.193978131,0.031212509,0.494852364,0.717431188,0.523566574,0.926177144,0.890686095,0.03609971,0.936273515,0.052558966,0.892026842,11.82185321,-0.08874862,87.25271257,0.049765084,0.032624684,0.033945747,0.252055526,0.001495803,0.095199034,0.006717356,0.001352183,0.038117658,0.078762755,0.003026536,0.154432088,0.378965348,0.631411612,5.676115237,2.030567447,0.433073759,2.86555514,3.933292553,3.396257295,0.043194823,0.354803026,0.482529074,0.646262109,0.490540862,0.301694036,0.960437596,0.588932872,0.998864532,0.99909246,0.554323912,0.231468722,0.453055024,0.135492012,0.269114017,0.407920599,0.235830739,0.045328248,0.075342946,0.103964821,0.034161698,0.210077837,0.041540716,0.067692861,0.267453343,0.011587729,0.00428046,0.21894756,0.007223155,0.010049945,0.005027934,0.07584656,['-'],"[(5, 6, 4, 3)]",['-'],['-'],"[(3, 4, 5, 6, 7), (3, 4, 5)]","[(3, 4, 5, 6, 7, 1), (3, 4, 5, 6, 7), (3,)]","[(3, 4, 5)]","[(3, 4, 5, 6, 7)]",0.044,0.656,0.022,0.002,1,0.412,0.496
COc1cc(O)cc(O)c1C(=O)/C=C/c1ccccc1,270.09,282.2485409,0.956922573,4,2,66.76,4,2,6,4,0,14,0.285714286,0,0,0.662,2.096,0.062,12,0.926,"[(13, 12, 10, 11, 9), (5, 4, 3, 2, 9, 10, 11), (1, 2, 3, 4, 6, 7, 9)]",['-'],['-'],['-'],0,0,0,0,-3.662621881,2.8728701,2.719619414,167.6310417,324.4937163,8.589372877,5.308734579,-4.913749179,-4.81984852,0.032388072,0.746291697,0.004402455,0.000526011,0.107858002,0.543414742,0.841363788,0.990669489,0.999514818,0.526933312,0.963703573,0.05102735,0.059641369,98.36835,-0.054557616,1.233605932,0.999910474,0.001696561,0.999935865,7.21E-06,0.999602497,0.99997139,0.999757349,0.999812782,0.937622666,9.68E-10,0.999993682,8.51E-11,1,0.056791194,8.683277966,0.724543412,1.499127377,4.250901911,5.475595801,4.998707338,0.221976444,0.524159491,0.439757854,0.377056211,0.141394034,0.637307107,0.80860281,0.187616736,0.123375006,0.99421978,0.655240536,0.609302938,0.590305686,0.133585081,0.116010271,0.254352033,0.523011386,0.068961471,0.200636789,0.610652447,0.849502325,0.000840247,0.609360754,0.152300552,0.99655211,0.535626411,0.417499959,0.998715162,0.919928193,0.992790103,0.99958688,0.998484075,"[(4,)]","[(10, 11, 12, 13)]",['-'],['-'],"[(5, 4, 6, 7, 8, 9, 2, 3), (5, 4, 3, 2, 1, 0, 9, 7, 6), (4,), (12, 13, 14), (14, 13, 12, 10), (3, 4, 5, 6, 7, 8, 9, 2)]","[(13, 12, 10, 11, 9), (13,)]","[(13, 12, 10), (5, 4, 3, 2, 9, 7, 6)]","[(13, 12, 10, 11, 9)]",0.818,0.999,0.405,0.889,0.88,0.86,0.529
CC1CCC(C(C)C)C(O)C1,156.15,181.7500792,0.859146806,1,1,20.23,1,1,6,1,0,6,0.166666667,3,1,0.618,3.353,1,18.2,1.864,['-'],['-'],['-'],['-'],0,1,0,1,-2.578099504,3.024287219,3.25907767,37.43517815,215.3186978,8.749261203,6.62575833,-4.877133219,-4.614308006,0.224621966,0.073474638,0.060495939,0.012035728,0.015190899,0.068270564,0.674791932,0.191472948,0.566683888,0.142089829,0.274251908,0.676386654,0.896996677,78.84611103,0.376242248,20.42491483,0.007315098,0.054515921,0.372166574,0.840670288,0.167241111,0.718466699,0.041912675,0.010243946,0.032437559,0.643813252,0.717920482,0.284358174,0.7963413,0.662987232,12.58005751,1.373292415,1.678744825,3.358385489,4.573622515,4.013524611,0.15291144,0.67821455,0.123476267,0.19585377,0.16846101,0.200573266,0.442836195,0.383470535,0.964459896,0.981412292,0.51147908,0.651297748,0.322752118,0.566092312,0.327532828,0.250499189,0.000589447,0.064547725,0.13821356,0.099654868,0.001028458,3.45E-06,3.00E-07,1.11E-05,0.892577469,0.001483756,1.44E-06,0.000398625,9.74E-08,0.000226663,0.058695968,2.35E-06,['-'],['-'],['-'],['-'],['-'],"[(9, 8, 4)]",['-'],['-'],0.038,0,0.004,0.001,0.82,0.542,0.045
