smiles
C[N+]1(C)CCCC1COC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
CC(C)(C)NCC(O)COC1=CC(Cl)=CC=C1Cl
[O--].[O--].[O--].[Al+3].[Al+3].CC(=O)OC1=CC=CC=C1C(O)=O
COC1=CC(OC)=C(C(=O)CCCN2CCCC2)C(OC)=C1
COC1=CC(N)=C(Cl)C=C1C(=O)NC1CCN(CC2=CC=CC=C2)CC1
OCCN(CC1=CC=C(OC2=CC=C(C=C2)N(=O)=O)C=C1)C(=O)C(Cl)Cl
CC1=C(Br)C=C(Br)C(O)=C1Br
CC(C(O)=O)C1=CC2=C(OC3=C(C2)C=CC=N3)C=C1
CCC(=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
CCCCC(CC)C1NC(=O)N(SC(Cl)(Cl)Cl)C1=O
[Ce+3].[Ce+3].[O-]C(=O)C([O-])=O.[O-]C(=O)C([O-])=O.[O-]C(=O)C([O-])=O
[H][C@@]12CC3=CN(C)C4=CC=CC(=C34)[C@@]1([H])C[C@@H](CNC(=O)OCC1=CC=CC=C1)CN2C
CN1[C@H]2[C@@H](N(C)C1=O)N(C)C(=O)N2C
COC1=CC(=CC(C(=O)NCC2CCCN2CC=C)=C1OC)S(N)(=O)=O
CC(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1
OCC(CO)(CO)CO
CCCN(CCC)C(=O)C(CCC(=O)OCCCN1CCN(CCOC(=O)CC2=C(C)N(C(=O)C3=CC=C(Cl)C=C3)C3=C2C=C(OC)C=C3)CC1)NC(=O)C1=CC=CC=C1
[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(Cl)C2=CC(=O)CC[C@]12C
OC1=CC(=C(O)C=C1)S(O)(=O)=O
CC(C)NCC(O)COC1=CC=CC2=C1C=C(C)N2
O=C(NC(CC1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CN=C1
NS(=O)(=O)C1=CC2=C(NC(CC3CCCC3)NS2(=O)=O)C=C1Cl
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C
COCC1=C(N=CC2=C1C1=C(N2)C=CC=C1OC1=CC=C(Cl)C=C1)C(=O)OC(C)C
OC1=C2N=CC=CC2=C(Br)C=C1Br
C[C@H]1O[C@H](C[C@H](OC=O)[C@@H]1OC=O)O[C@@H]1[C@@H](C)O[C@H](C[C@@H]1OC=O)O[C@@H]1[C@@H](C)O[C@H](C[C@@H]1OC=O)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@H]([C@H](C[C@]32O)OC=O)C2=CC(=O)OC2)C1
COC1=CC=CC=C1OC(=O)C1=CC=CC=C1OC(C)=O
OC(=O)C1=C(I)C(NC(=O)CCOCCOCCOCCOCCC(=O)NC2=C(I)C(C(O)=O)=C(I)C=C2I)=C(I)C=C1I
[H][C@]1(O[C@H]2[C@@H](C[C@H](N)[C@@H](O[C@@]3([H])O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2O)NC(=O)[C@@H](O)CN)OC[C@](C)(O)[C@H](NC)[C@H]1O
CC(C)N1CC(O)C2=C\C(=N\NC(N)=O)C(=O)C=C12
C[N+]1(C)CCCCC1COC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
[H][C@@](O)(CBr)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CBr
CCOC1=C(C=CC=C1)C(N)=O
BrC1=CC=C2C(=O)C(C(=O)C2=C1)C1=CC=CC=C1
CCN(CC)CC1=NC=CN1C1=C(C=C(C=C1)N(=O)=O)C(=O)C1=CC=CC=C1Cl
NCC1=CC=C(C=C1)S(N)(=O)=O.NC(=S)NS(=O)(=O)C1=CC=C(N)C=C1
NC(=N)C1=CC=C(OCCCOC2=CC=C(C=C2Br)C(N)=N)C(Br)=C1
CN(C)C1=CC=C(O)C=C1
CNCCCCOC1=CC=CC=C1CC1=CC=CC=C1
OC(=O)C1=CC(=NC2=CC=CC=C12)C1=CC=CC=C1
OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC(=CC=C1)C(F)(F)F
